,complexity,comm_cost,optimality,N
Deontic Priority true,41.30875146530354,0.6247770130824709,0.8141845195695138,104074
Deontic Priority false,35.788480711711024,0.6438341721855065,0.8270695431968025,13039
population,40.69414155559161,0.6268987783650994,0.815619098335972,117113
