,optimality,natural,dp_medium,original_name
600,0.7870272032633336,True,True,Thai
601,0.8126307703833223,True,True,Hungarian
602,0.8543713176493866,True,True,Russian
603,0.7644183930631243,True,True,Tlingit
604,0.8111546580872211,True,True,Hebrew
605,0.9187080766359006,True,True,Basque
0,0.7870272032633336,False,True,Thai
1,0.7353104085666732,False,False,Thai
2,0.7054737675540844,False,False,Thai
3,0.7353104085666732,False,False,Thai
4,0.7054737675540844,False,False,Thai
5,0.7870272032633336,False,True,Thai
6,0.7377967283163469,False,False,Thai
7,0.6860799617482212,False,False,Thai
8,0.6665203857381833,False,False,Thai
9,0.6860799617482212,False,False,Thai
10,0.6665203857381833,False,False,Thai
11,0.7377967283163469,False,False,Thai
12,0.7904529087643528,False,False,Thai
13,0.8202895530561302,False,False,Thai
14,0.800729982268574,False,True,Thai
15,0.8202895530561302,False,False,Thai
16,0.800729982268574,False,True,Thai
17,0.7904529087643528,False,False,Thai
18,0.6811071434906455,False,False,Thai
19,0.7626606531794707,False,False,Thai
20,0.6913842473540487,False,False,Thai
21,0.7626606531794707,False,False,Thai
22,0.6913842473540487,False,False,Thai
23,0.6811071434906455,False,False,Thai
24,0.78860194502869,False,True,Thai
25,0.7368851003932848,False,False,Thai
26,0.707048438436192,False,False,Thai
27,0.7368851003932848,False,False,Thai
28,0.707048438436192,False,False,Thai
29,0.78860194502869,False,True,Thai
30,0.7094519953903218,False,False,Thai
31,0.6577351470689388,False,False,Thai
32,0.6759686653963641,False,False,Thai
33,0.6577351470689388,False,False,Thai
34,0.6759686653963641,False,False,Thai
35,0.7094519953903218,False,False,Thai
36,0.695859748879986,False,False,Thai
37,0.7256963576620657,False,False,Thai
38,0.7439297778150881,False,True,Thai
39,0.7256963576620657,False,False,Thai
40,0.7439297778150881,False,True,Thai
41,0.695859748879986,False,False,Thai
42,0.7099768987342643,False,False,Thai
43,0.7915302779593276,False,False,Thai
44,0.7580469602475011,False,False,Thai
45,0.7915302779593276,False,False,Thai
46,0.7580469602475011,False,False,Thai
47,0.7099768987342643,False,False,Thai
48,0.7418025591143158,False,False,Thai
49,0.6900858019287998,False,False,Thai
50,0.6705262245267405,False,False,Thai
51,0.6900858019287998,False,False,Thai
52,0.6705262245267405,False,False,Thai
53,0.7418025591143158,False,False,Thai
54,0.710308344480155,False,False,Thai
55,0.6585915809082814,False,False,Thai
56,0.67682502324553,False,False,Thai
57,0.6585915809082814,False,False,Thai
58,0.67682502324553,False,False,Thai
59,0.710308344480155,False,False,Thai
60,0.7390261673557277,False,False,Thai
61,0.7585857259901169,False,False,Thai
62,0.7768192377131757,False,False,Thai
63,0.7585857259901169,False,False,Thai
64,0.7768192377131757,False,False,Thai
65,0.7390261673557277,False,False,Thai
66,0.6916190685683707,False,False,Thai
67,0.762895478775717,False,False,Thai
68,0.7294121487527834,False,False,Thai
69,0.762895478775717,False,False,Thai
70,0.7294121487527834,False,False,Thai
71,0.6916190685683707,False,False,Thai
72,0.7890577748654394,False,False,Thai
73,0.8188943660659014,False,False,Thai
74,0.7993347786620488,False,True,Thai
75,0.8188943660659014,False,False,Thai
76,0.7993347786620488,False,True,Thai
77,0.7890577748654394,False,False,Thai
78,0.6899200503937691,False,False,Thai
79,0.7197566617188356,False,False,Thai
80,0.7379900770640699,False,True,Thai
81,0.7197566617188356,False,False,Thai
82,0.7379900770640699,False,True,Thai
83,0.6899200503937691,False,False,Thai
84,0.7356281046247022,False,False,Thai
85,0.7551876796970293,False,False,Thai
86,0.7734211233247362,False,False,Thai
87,0.7551876796970293,False,False,Thai
88,0.7734211233247362,False,False,Thai
89,0.7356281046247022,False,False,Thai
90,0.7629783577255387,False,False,Thai
91,0.7527012817466617,False,False,Thai
92,0.8007713950412554,False,False,Thai
93,0.7527012817466617,False,False,Thai
94,0.8007713950412554,False,False,Thai
95,0.7629783577255387,False,False,Thai
96,0.6826266042867937,False,False,Thai
97,0.7641800921758943,False,False,Thai
98,0.6929036585677579,False,False,Thai
99,0.7641800921758943,False,False,Thai
100,0.8126307703833223,False,True,Hungarian
101,0.7723242248974251,False,False,Hungarian
102,0.7475647454276064,False,False,Hungarian
103,0.7723242248974251,False,False,Hungarian
104,0.7475647454276064,False,False,Hungarian
105,0.8126307703833223,False,True,Hungarian
106,0.804672633477746,False,False,Hungarian
107,0.7639525976479289,False,False,Hungarian
108,0.7475647454276064,False,False,Hungarian
109,0.7639525976479289,False,False,Hungarian
110,0.7475647454276064,False,False,Hungarian
111,0.804672633477746,False,False,Hungarian
112,0.804672633477746,False,False,Hungarian
113,0.8300140531240043,False,False,Hungarian
114,0.8126307703833223,False,True,Hungarian
115,0.8300140531240043,False,False,Hungarian
116,0.8126307703833223,False,True,Hungarian
117,0.804672633477746,False,False,Hungarian
118,0.7639525976479289,False,False,Hungarian
119,0.8300140531240043,False,False,Hungarian
120,0.7723242248974251,False,False,Hungarian
121,0.8300140531240043,False,False,Hungarian
122,0.7723242248974251,False,False,Hungarian
123,0.7639525976479289,False,False,Hungarian
124,0.8199471229004277,False,True,Hungarian
