complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,optimality,natural,dominant,name
46,,0.4901851997938421,0.5098148002061579,0.0,0.0,False,0.5949690045847942,False,False,sampled_lang_1091
48,,0.49826390373831,0.50173609626169,0.2857142857142857,0.2857142857142857,False,0.5825996101731759,False,False,sampled_lang_2016
38,,0.5517361275541286,0.4482638724458714,0.5,0.5,False,0.6908556438844126,False,False,sampled_lang_2073
12,,0.5486111274609963,0.4513888725390037,0.6666666666666666,0.3333333333333333,False,0.9132172148483532,False,False,sampled_lang_377
64,,0.5069444595525663,0.4930555404474337,0.0,0.0,False,0.44509758369912733,False,False,sampled_lang_1691
22,,0.4620370508068138,0.5379629491931862,0.0,0.0,False,0.8079015866997896,False,False,sampled_lang_1953
26,,0.44907408745752436,0.5509259125424757,0.25,0.25,False,0.7668354624463097,False,False,sampled_lang_540
24,,0.5500000163912773,0.44999998360872273,0.4,0.4,False,0.7966310499621704,False,False,sampled_lang_1972
4,,0.4652777916441361,0.5347222083558639,1.0,1.0,False,0.9883939012433524,False,False,sampled_lang_228
52,,0.5208333488553762,0.47916665114462376,0.125,0.125,False,0.5585362427671585,False,False,sampled_lang_1302
18,,0.5983796474627322,0.4016203525372678,1.0,0.6666666666666666,False,0.8674378542508479,False,False,sampled_lang_1064
20,,0.5508102016006079,0.4491897983993921,0.6,0.6,False,0.8326700846515525,False,False,sampled_lang_784
16,,0.4708333473652601,0.5291666526347398,0.5,0.5,False,0.8688535793920241,False,False,sampled_lang_554
32,,0.7300926143510474,0.26990738564895256,0.8888888888888888,0.7777777777777778,False,0.816935343460682,False,False,sampled_lang_1651
18,,0.6898148353728983,0.31018516462710166,0.8,0.8,False,0.9178005779529064,False,False,sampled_lang_831
70,,0.4965277925754587,0.5034722074245412,0.0,0.0,False,0.3860447817892737,False,False,sampled_lang_1695
32,,0.45381945796931783,0.5461805420306822,0.0,0.0,False,0.7066490113203484,False,False,sampled_lang_687
22,,0.5793981654155584,0.42060183458444156,0.4,0.4,False,0.8285817110211597,False,False,sampled_lang_1979
17,,0.5353009418791367,0.4646990581208633,0.8,0.6,False,0.8621138087010497,False,False,sampled_lang_828
10,,0.4611111248532931,0.5388888751467069,0.3333333333333333,0.0,False,0.928661524238634,False,False,sampled_lang_319
50,,0.5009259408546818,0.4990740591453182,0.0,0.0,False,0.5670526775466933,False,False,sampled_lang_1087
15,,0.47916668094694614,0.5208333190530539,0.75,0.25,False,0.8793683372409458,False,False,sampled_lang_602
12,,0.5694444614152113,0.4305555385847887,0.6666666666666666,0.3333333333333333,False,0.9142975084917155,False,False,sampled_lang_1940
38,,0.6287037224405342,0.3712962775594658,0.7777777777777778,0.6666666666666666,False,0.7265411234108681,False,False,sampled_lang_1630
8,,0.27083334140479565,0.7291666585952044,1.0,1.0,True,0.8862616031864643,False,False,sampled_lang_207
8,,0.5277777935067812,0.4722222064932188,0.5,0.5,False,0.9524675105825107,False,False,sampled_lang_158
8,,0.27083334140479565,0.7291666585952044,1.0,1.0,True,0.8862616031864643,False,False,sampled_lang_240
22,,0.580000017285347,0.419999982714653,0.8571428571428571,0.5714285714285714,False,0.8289422381198818,False,False,sampled_lang_1229
10,,0.5416666828095913,0.4583333171904087,1.0,1.0,True,0.9330224074625331,False,False,sampled_lang_452
14,,0.3611111218730608,0.6388888781269392,0.0,0.0,False,0.8607284886010546,False,False,sampled_lang_70
26,,0.6111111293236414,0.3888888706763586,0.25,0.25,False,0.8137467591613045,False,False,sampled_lang_524
18,,0.5319444602976242,0.4680555397023758,0.5,0.5,False,0.851857111516364,False,False,sampled_lang_1952
33,,0.5362500159814954,0.46374998401850465,0.6666666666666666,0.5555555555555556,False,0.7192162599156704,False,False,sampled_lang_2059
14,,0.5625000167638063,0.43749998323619366,1.0,1.0,False,0.8937721163051778,False,False,sampled_lang_652
44,,0.49440146976076654,0.5055985302392334,0.125,0.125,False,0.613137912459607,False,False,sampled_lang_1316
33,,0.5109854649640029,0.4890145350359971,0.5,0.25,False,0.7065557624490897,False,False,sampled_lang_1376
28,,0.4496527911784748,0.5503472088215252,0.4,0.4,False,0.7467363563471023,False,False,sampled_lang_747
8,,0.5000000149011612,0.4999999850988388,1.0,1.0,True,0.95102714613343,False,False,sampled_lang_236
8,,0.416666679084301,0.583333320915699,0.5,0.5,False,0.9350066310949805,False,False,sampled_lang_142
4,,0.3333333432674408,0.6666666567325592,0.0,0.0,False,0.9442913957558994,False,False,sampled_lang_23
26,,0.48263890327264863,0.5173610967273514,0.0,0.0,False,0.7686392800522677,False,False,sampled_lang_473
24,,0.5253472378787896,0.47465276212121044,0.7142857142857143,0.2857142857142857,False,0.7910191487053796,False,False,sampled_lang_1221
44,,0.49261575542183383,0.5073842445781662,0.0,0.0,False,0.6121944580615452,False,False,sampled_lang_1094
18,,0.44097223536421853,0.5590277646357815,0.75,0.5,False,0.8461712487444306,False,False,sampled_lang_622
44,,0.52604168234393,0.47395831765607,0.2857142857142857,0.2857142857142857,False,0.6292252309770783,False,False,sampled_lang_1124
14,,0.34722223257025076,0.6527777674297492,0.0,0.0,False,0.8560861112676509,False,False,sampled_lang_112
16,,0.5555555721124014,0.44444442788759864,1.0,0.8,False,0.8732467287034126,False,False,sampled_lang_867
20,,0.6016203883000546,0.3983796116999454,0.6666666666666666,0.6666666666666666,False,0.8561982364300743,False,False,sampled_lang_2001
34,,0.5775463135085172,0.42245368649148285,0.3333333333333333,0.3333333333333333,False,0.7360158331989441,False,False,sampled_lang_1889
14,,0.6041666846722364,0.39583331532776356,0.3333333333333333,0.3333333333333333,False,0.8961209003565676,False,False,sampled_lang_340
33,,0.5123148300829862,0.4876851699170138,0.625,0.375,False,0.707243674947015,False,False,sampled_lang_1391
32,,0.48055556987722703,0.519444430122773,0.0,0.0,False,0.7080353780908188,False,False,sampled_lang_666
34,,0.47847223648180565,0.5215277635181943,0.16666666666666666,0.16666666666666666,False,0.687762054834723,False,False,sampled_lang_925
56,,0.4687500139698386,0.5312499860301614,0.0,0.0,False,0.5012299349652511,False,False,sampled_lang_1280
12,,0.3437500102445483,0.6562499897554517,0.5,0.5,False,0.8734950445182214,False,False,sampled_lang_184
26,,0.7916666902601719,0.2083333097398281,1.0,1.0,True,0.8947530294709265,False,False,sampled_lang_1265
18,,0.5902777953694264,0.4097222046305736,1.0,0.8,False,0.862011336999708,False,False,sampled_lang_854
36,,0.6221065000216993,0.3778934999783007,0.5555555555555556,0.5555555555555556,False,0.7414621350095647,False,False,sampled_lang_1583
46,,0.5141203856923513,0.4858796143076487,0.25,0.0,False,0.6068692781866378,False,False,sampled_lang_1323
16,,0.23611111814777058,0.7638888818522294,0.0,0.0,False,0.8003775085713193,False,False,sampled_lang_93
25,,0.6071759440211786,0.3928240559788214,1.0,0.75,False,0.8198278094858131,False,False,sampled_lang_1471
30,,0.6372685375106003,0.3627314624893997,0.875,0.75,False,0.7991461991282238,False,False,sampled_lang_1437
22,,0.6597222418834765,0.3402777581165235,1.0,1.0,False,0.8713965534554708,False,False,sampled_lang_1063
26,,0.6601852048602369,0.3398147951397631,0.875,0.75,False,0.84298732734328,False,False,sampled_lang_1449
10,,0.30555556466182077,0.6944444353381792,0.5,0.5,False,0.8792980203096767,False,False,sampled_lang_146
2,,0.3333333432674408,0.6666666567325592,1.0,0.0,False,0.9628609309748214,False,False,sampled_lang_45
36,,0.6145833516493439,0.38541664835065614,0.75,0.625,False,0.7381411824726944,False,False,sampled_lang_1430
30,,0.4629629767603344,0.5370370232396656,0.2,0.2,False,0.7272884249369229,False,False,sampled_lang_1969
58,,0.5089352003526357,0.49106479964736427,0.1,0.0,False,0.5004041352091575,False,False,sampled_lang_2071
32,,0.6018518697884347,0.39814813021156525,0.5,0.5,False,0.7647350491119557,False,False,sampled_lang_967
16,,0.4416666798293591,0.5583333201706409,0.0,0.0,False,0.8661413698902528,False,False,sampled_lang_311
48,,0.5133102004830208,0.4866897995169792,0.0,0.0,False,0.5897188673078955,False,False,sampled_lang_1080
21,,0.6481481674644681,0.35185183253553187,1.0,0.8571428571428571,False,0.8728130895779808,False,False,sampled_lang_1262
17,,0.5601852018800046,0.43981479811999535,1.0,0.6666666666666666,False,0.863404150111617,False,False,sampled_lang_1051
34,,0.5358796456000872,0.46412035439991284,0.5,0.5,False,0.7119915596250203,False,False,sampled_lang_969
12,,0.5810185358342197,0.4189814641657803,1.0,0.6,False,0.9148976659435536,False,False,sampled_lang_844
12,,0.416666679084301,0.583333320915699,0.0,0.0,False,0.8978675615983742,False,False,sampled_lang_1927
12,,0.31250000931322575,0.6874999906867743,0.5,0.5,False,0.8630496802729646,False,False,sampled_lang_196
18,,0.4805555698772272,0.5194444301227727,0.0,0.0,False,0.8491924226620109,False,False,sampled_lang_285
44,,0.5163889042784771,0.48361109572152294,0.2222222222222222,0.2222222222222222,False,0.624447699830867,False,False,sampled_lang_1527
