complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name
13,,0.8611111111111112,0.1388888888888888,1.0,1.0,True,True,False,True,True,True,False,False,0.9999690018659386,False,True,sampled_lang_7,sampled_lang_7
2,,0.6666666666666667,0.3333333333333332,1.0,1.0,True,True,False,True,True,True,True,True,0.999948964744634,False,True,sampled_lang_9,sampled_lang_9
1,,0.3333333333333333,0.6666666666666666,1.0,1.0,True,True,False,True,True,True,True,True,0.763544695320424,False,True,sampled_lang_0,sampled_lang_0
10,,0.8333333333333335,0.1666666666666665,1.0,1.0,True,True,False,True,True,True,True,True,0.9999351864200028,False,True,sampled_lang_4,sampled_lang_4
3,,0.6805555555555556,0.3194444444444444,1.0,1.0,True,True,False,True,True,True,True,True,0.9999827721370044,False,True,sampled_lang_8,sampled_lang_8
4,,0.6851851851851852,0.3148148148148147,1.0,1.0,True,True,False,True,True,True,True,True,0.999977029516006,False,True,sampled_lang_2,sampled_lang_2
16,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,True,False,True,True,True,False,False,0.999948336443231,False,True,sampled_lang_5,sampled_lang_5
5,,0.6944444444444446,0.3055555555555553,1.0,1.0,True,True,False,True,True,True,True,True,0.999946095805834,False,True,sampled_lang_1,sampled_lang_1
8,,0.7986111111111112,0.2013888888888888,1.0,1.0,False,True,False,True,True,True,False,False,0.9999702937758348,False,True,sampled_lang_3,sampled_lang_3
6,,0.7638888888888891,0.2361111111111109,1.0,1.0,False,True,False,True,True,True,False,False,0.999971590004948,False,True,sampled_lang_6,sampled_lang_6
