,complexity,comm_cost,optimality,N
cogsci universal true,45.14131635912263,0.4934763813056814,0.7542644425053423,132122
cogsci universal false,38.57681452315412,0.7277168356532131,0.7677117704006879,28699
population,43.969860901250456,0.5352773077973697,0.7566641593536925,160821
