complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,optimality,natural,dominant,name
27,,0.3704042567480305,0.6295957432519694,1.0,0.6,False,True,0.862885051861213,False,False,sampled_lang_1870
40,,0.35848834935505053,0.6415116506449494,0.375,0.375,False,True,0.8289007921949338,False,False,sampled_lang_1341
50,,0.35811880019400016,0.6418811998059999,0.3333333333333333,0.3333333333333333,False,True,0.8093257853011153,False,False,sampled_lang_1539
30,,0.32898087537062526,0.6710191246293747,0.3333333333333333,0.3333333333333333,False,True,0.8261729966112159,False,False,sampled_lang_927
36,,0.29980804868204,0.70019195131796,0.0,0.0,False,True,0.7928158816027078,False,False,sampled_lang_697
18,,0.4377823075365406,0.5622176924634594,1.0,0.8333333333333334,False,True,0.9333014096787078,False,False,sampled_lang_1052
24,,0.38280673720306013,0.6171932627969399,0.8333333333333334,0.8333333333333334,False,True,0.8779333563025666,False,False,sampled_lang_1027
50,,0.311247391636082,0.6887526083639179,0.25,0.25,False,True,0.7743363788486913,False,False,sampled_lang_1332
41,,0.35300157083889977,0.6469984291611002,0.6666666666666666,0.5555555555555556,False,True,0.8228751375433178,False,False,sampled_lang_1605
50,,0.3509177241807546,0.6490822758192454,0.4,0.3,False,True,0.8039503843806125,False,False,sampled_lang_1769
50,,0.3496627968213544,0.6503372031786456,0.3333333333333333,0.3333333333333333,False,True,0.8030134226925757,False,False,sampled_lang_1555
58,,0.3074300734519503,0.6925699265480497,0.0,0.0,False,True,0.7560476523014737,False,False,sampled_lang_1498
39,,0.3720312995820995,0.6279687004179004,0.7,0.5,False,True,0.8409407230056402,False,False,sampled_lang_1826
46,,0.3048826772310748,0.6951173227689251,0.0,0.0,False,True,0.777304862507853,False,False,sampled_lang_1089
22,,0.3553600130542144,0.6446399869457856,0.8333333333333334,0.5,False,True,0.861160431306979,False,False,sampled_lang_1015
24,,0.35262565722007577,0.6473743427799242,0.6666666666666666,0.5,False,True,0.8554031923893779,False,False,sampled_lang_1001
42,,0.3384197768591203,0.6615802231408797,0.0,0.0,False,True,0.8100600940073006,False,False,sampled_lang_893
21,,0.3731638137819019,0.6268361862180981,0.8333333333333334,0.6666666666666666,False,True,0.8760930669823934,False,False,sampled_lang_1018
12,,0.4217017864036124,0.5782982135963877,1.0,0.75,False,True,0.9621415357505406,False,False,sampled_lang_637
50,,0.40851826672963254,0.5914817332703675,0.6,0.6,False,True,0.8469490055103018,False,False,sampled_lang_1797
18,,0.3085504526544999,0.6914495473455001,0.0,0.0,False,True,0.8569193990736569,False,False,sampled_lang_304
50,,0.3309702816876131,0.6690297183123869,0.125,0.125,False,True,0.7890595814057991,False,False,sampled_lang_1309
4,,0.24505728742153182,0.7549427125784682,0.0,0.0,False,True,0.9657950157421185,False,False,sampled_lang_15
27,,0.40244930163833503,0.597550698361665,1.0,0.7777777777777778,False,True,0.8868062721650458,False,False,sampled_lang_1665
8,,0.2572883381268519,0.7427116618731481,1.0,1.0,True,False,0.934628763772883,False,False,sampled_lang_426
18,,0.3670085105681565,0.6329914894318436,1.0,0.8333333333333334,False,True,0.8913015040766352,False,False,sampled_lang_1067
26,,0.38368441646055473,0.6163155835394453,0.8571428571428571,0.5714285714285714,False,True,0.8747287026678634,False,False,sampled_lang_1245
6,,0.30044346793395715,0.6995565320660428,1.0,0.5,False,False,0.9676599647795483,False,False,sampled_lang_222
25,,0.387028323105337,0.6129716768946629,1.0,0.6666666666666666,False,True,0.8791545414755728,False,False,sampled_lang_1667
32,,0.34949598643615803,0.650504013563842,0.5714285714285714,0.2857142857142857,False,True,0.8376275159776613,False,False,sampled_lang_1189
34,,0.3421858420941303,0.6578141579058697,0.0,0.0,False,True,0.8283105605689678,False,False,sampled_lang_869
52,,0.32553816565153443,0.6744618343484656,0.125,0.125,False,True,0.7811446928090354,False,False,sampled_lang_1312
26,,0.33515029330927176,0.6648497066907282,0.25,0.25,False,True,0.8384981362711077,False,False,sampled_lang_1958
34,,0.4372895753218068,0.5627104246781932,0.9,0.9,False,True,0.8993051230796053,False,False,sampled_lang_1867
14,,0.3056417927993991,0.6943582072006009,0.25,0.25,False,True,0.888806588310632,False,False,sampled_lang_535
8,,0.36976473139432386,0.6302352686056761,0.5,0.5,False,True,0.9548150201490961,False,False,sampled_lang_176
32,,0.36089555152911484,0.6391044484708852,0.42857142857142855,0.2857142857142857,False,True,0.8461372613242972,False,False,sampled_lang_1153
18,,0.35165682250285535,0.6483431774971447,0.75,0.5,False,True,0.882576591244818,False,False,sampled_lang_611
25,,0.2974005898766139,0.7025994101233861,0.2,0.0,False,True,0.8122477706965299,False,False,sampled_lang_714
32,,0.2948555766612413,0.7051444233387587,0.0,0.0,False,True,0.796838717325288,False,False,sampled_lang_670
34,,0.3656227012142175,0.6343772987857825,0.5,0.5,False,True,0.8458059911005029,False,False,sampled_lang_975
14,,0.20334442586797039,0.7966555741320296,0.0,0.0,False,False,0.8618143271515475,False,False,sampled_lang_115
42,,0.38309416432832155,0.6169058356716784,0.5555555555555556,0.4444444444444444,False,True,0.8434090799898601,False,False,sampled_lang_1584
30,,0.35952770637050474,0.6404722936294953,0.3333333333333333,0.3333333333333333,False,True,0.8489759069635827,False,False,sampled_lang_943
28,,0.3022604179757882,0.6977395820242118,0.25,0.25,False,True,0.8100860509643272,False,False,sampled_lang_1954
6,,0.3138396250220334,0.6861603749779666,1.0,1.0,True,True,0.9697841980391962,False,False,sampled_lang_258
40,,0.5876909512420737,0.4123090487579263,1.0,1.0,True,True,0.9998712708740608,False,True,sampled_lang_2007
34,,0.5086638896768978,0.4913361103231022,1.0,1.0,True,True,0.9525856757857875,False,False,sampled_lang_1659
14,,0.281565664956967,0.718434335043033,0.0,0.0,False,True,0.8859597263810669,False,False,sampled_lang_1911
23,,0.3748126702817273,0.6251873297182726,1.0,0.6666666666666666,False,True,0.8738957552274041,False,False,sampled_lang_1678
42,,0.38114684555467554,0.6188531544453244,0.7,0.5,False,True,0.8419557012148751,False,False,sampled_lang_1813
48,,0.3715539652490761,0.628446034750924,0.6,0.6,False,True,0.8232148845689384,False,False,sampled_lang_2051
36,,0.3132444968939252,0.6867555031060748,0.14285714285714285,0.14285714285714285,False,True,0.8028462714096978,False,False,sampled_lang_1117
47,,0.3357880222434456,0.6642119777565544,0.6,0.5,False,True,0.7984456333629639,False,False,sampled_lang_1807
13,,0.35686335957187626,0.6431366404281238,1.0,0.6666666666666666,False,True,0.9135844253241182,False,False,sampled_lang_1047
22,,0.3830864653874663,0.6169135346125336,0.8571428571428571,0.5714285714285714,False,True,0.8819753921436755,False,False,sampled_lang_1225
18,,0.29317566776663306,0.7068243322333669,0.3333333333333333,0.3333333333333333,False,True,0.8475564132443509,False,False,sampled_lang_330
42,,0.3602791229979738,0.6397208770020262,0.5,0.375,False,True,0.8263778243734619,False,False,sampled_lang_1380
28,,0.3317704582738319,0.6682295417261681,0.3333333333333333,0.16666666666666666,False,True,0.8321152870198331,False,False,sampled_lang_935
51,,0.3313752459765975,0.6686247540234025,0.3333333333333333,0.2222222222222222,False,True,0.7874320629123159,False,False,sampled_lang_2053
29,,0.38322248000924186,0.6167775199907581,1.0,0.7777777777777778,False,True,0.8685940431808215,False,False,sampled_lang_1670
4,,0.21152070105621001,0.78847929894379,0.0,0.0,False,True,0.9537030274725083,False,False,sampled_lang_39
18,,0.3436930380822197,0.6563069619177804,0.8,0.6,False,True,0.8780497298278469,False,False,sampled_lang_811
46,,0.3731099211959153,0.6268900788040848,0.4444444444444444,0.4444444444444444,False,True,0.8282364792340087,False,False,sampled_lang_1892
18,,0.38890121878404926,0.6110987812159507,0.8,0.8,False,True,0.9037439495432885,False,False,sampled_lang_805
22,,0.2923565004596381,0.7076434995403619,0.25,0.25,False,True,0.8220253828969171,False,False,sampled_lang_505
44,,0.3939790002326724,0.6060209997673276,0.7,0.6,False,True,0.8476746937169494,False,False,sampled_lang_1812
40,,0.31640007278073956,0.6835999272192604,0.2857142857142857,0.2857142857142857,False,True,0.7974820683379595,False,False,sampled_lang_1135
