name,probability
weak+epistemic,0.1389370306181398
weak+deontic,0.042027729636048526
weak+circumstantial,0.14298093587521662
strong+epistemic,0.10427498555748123
strong+deontic,0.25375505488157135
strong+circumstantial,0.31802426343154244
