complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
13,0.8059701492537313,0.343510971786834,0.656489028213166,0.8,0.8,False,True,True,False,True,True,True,True,0.8848724572224573,False,False,
13,0.8059701492537313,0.4106227106227107,0.5893772893772893,0.75,0.75,False,True,True,False,True,True,True,True,0.8891103821719084,False,False,
18,0.7313432835820896,0.5730278483145438,0.4269721516854562,0.7142857142857143,0.7142857142857143,False,True,True,False,True,True,True,True,0.880838576715146,False,False,
11,0.835820895522388,0.388888888888889,0.6111111111111109,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.9087870718979042,False,False,
6,0.9104477611940298,0.2,0.8,1.0,1.0,True,True,True,False,True,True,True,True,0.9002204355286023,False,False,
12,0.8208955223880597,0.3699992109208554,0.6300007890791446,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.8970696869751867,False,False,
8,0.8805970149253731,0.4750000000000001,0.5249999999999999,0.75,0.75,False,True,True,False,True,True,True,True,0.9457984814241208,False,False,
8,0.8805970149253731,0.2988899864134035,0.7011100135865965,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.9346727319702268,False,False,
33,0.5074626865671642,0.4309826487283317,0.5690173512716683,0.4285714285714285,0.4285714285714285,False,True,True,False,True,True,True,True,0.6870976920817733,False,False,
12,0.8208955223880597,0.601851851851852,0.398148148148148,0.8333333333333334,0.8333333333333334,False,True,True,False,True,True,True,True,0.9486276256617356,False,False,
11,0.835820895522388,0.5555555555555556,0.4444444444444444,0.8,0.8,False,True,True,False,True,True,True,True,0.9422060788848317,False,False,
40,0.4029850746268657,0.3872096445845869,0.612790355415413,0.1666666666666666,0.1666666666666666,False,True,True,False,True,True,True,True,0.6044925717672496,False,False,
13,0.8059701492537313,0.3355946931577097,0.6644053068422903,0.25,0.25,False,True,True,False,True,True,True,True,0.8843725618310296,False,False,
22,0.6716417910447761,0.3840025922808304,0.6159974077191696,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.7927082920076637,False,False,
31,0.5373134328358209,0.3733441554873071,0.6266558445126929,0.75,0.75,False,True,True,False,True,True,True,True,0.6973141449685889,False,False,
9,0.8656716417910448,0.2619047619047619,0.7380952380952381,0.5,0.5,False,True,True,False,True,True,True,True,0.9157820902394912,False,False,
16,0.7611940298507462,0.2837962962962963,0.7162037037037037,1.0,1.0,True,True,True,False,True,True,True,True,0.8493516646219526,False,False,
17,0.7462686567164178,0.4335714285714286,0.5664285714285713,0.8,0.8,False,True,True,False,True,True,True,True,0.8484612727141975,False,False,
11,0.835820895522388,0.5139693015349234,0.4860306984650766,0.75,0.75,False,True,True,False,True,True,True,True,0.9277854680204132,False,False,
13,0.8059701492537313,0.2962962962962964,0.7037037037037036,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.8818909732751751,False,False,
8,0.8805970149253731,0.1666666666666667,0.8333333333333333,0.0,0.0,False,True,True,False,True,True,True,True,0.8653725459926886,False,False,
17,0.7462686567164178,0.2885498686268455,0.7114501313731545,0.0,0.0,False,True,True,False,True,True,True,True,0.8392844407345708,False,False,
16,0.7611940298507462,0.3308135231326633,0.6691864768673367,0.8,0.8,False,True,True,False,True,True,True,True,0.8524969466114004,False,False,
11,0.835820895522388,0.2142857142857143,0.7857142857142857,0.0,0.0,False,True,True,False,True,True,True,True,0.8760765136728266,False,False,
13,0.8059701492537313,0.4666666666666667,0.5333333333333332,0.75,0.75,False,True,True,False,True,True,True,True,0.892649406107872,False,False,
11,0.835820895522388,0.4518704496123981,0.5481295503876018,0.8,0.6,False,True,True,False,True,True,True,True,0.912764201563662,False,False,
36,0.4626865671641791,0.4001905922680969,0.599809407731903,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.6475231701931148,False,False,
6,0.9104477611940298,0.3541666666666667,0.6458333333333333,1.0,1.0,True,True,True,False,True,True,True,True,0.9592172862861488,False,False,
15,0.7761194029850746,0.4784226190476192,0.5215773809523808,0.5,0.5,False,True,True,False,True,True,True,True,0.8769299087349666,False,False,
7,0.8955223880597015,0.2257716049382716,0.7742283950617284,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.9130720861234198,False,False,
27,0.5970149253731343,0.3450919327891026,0.6549080672108973,0.3333333333333333,0.1666666666666666,False,True,True,False,True,True,True,True,0.7376283558012418,False,False,
5,0.9253731343283582,0.1666666666666667,0.8333333333333333,0.0,0.0,False,True,True,False,True,True,True,True,0.8775017686343769,False,False,
6,0.9104477611940298,0.2083333333333333,0.7916666666666666,0.5,0.5,False,True,True,False,True,True,True,True,0.9065158044403484,False,False,
14,0.791044776119403,0.4043040293040294,0.5956959706959706,0.75,0.75,False,True,True,False,True,True,True,True,0.8781868110577639,False,False,
19,0.7164179104477613,0.8333333333333335,0.1666666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.9638723131350464,False,False,
11,0.835820895522388,0.5579710144927537,0.4420289855072463,0.75,0.75,False,True,True,False,True,True,True,True,0.9430436364947032,False,False,
14,0.791044776119403,0.5957010582010582,0.4042989417989417,0.8333333333333334,0.8333333333333334,False,True,True,False,True,True,True,True,0.9272301136611248,False,False,
28,0.582089552238806,0.4302106437840398,0.5697893562159602,0.2857142857142857,0.2857142857142857,False,True,True,False,True,True,True,True,0.7349915917579979,False,False,
13,0.8059701492537313,0.240906780435834,0.759093219564166,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.870007296133534,False,False,
25,0.6268656716417911,0.3732602256159914,0.6267397743840086,0.1666666666666666,0.1666666666666666,False,True,True,False,True,True,True,True,0.7604562409594241,False,False,
31,0.5373134328358209,0.3370058562495615,0.6629941437504385,0.25,0.25,False,True,True,False,True,True,True,True,0.6950194759253777,False,False,
35,0.4776119402985075,0.2595311032561873,0.7404688967438127,0.1666666666666666,0.1666666666666666,False,True,True,False,True,True,True,True,0.6477927401471641,False,False,
44,0.34328358208955223,0.3527403488248942,0.6472596511751058,0.0,0.0,False,True,True,False,True,True,True,True,0.5591937011811905,False,False,
7,0.8955223880597015,0.1666666666666667,0.8333333333333333,0.0,0.0,False,True,True,False,True,True,True,True,0.8701454414314609,False,False,
20,0.7014925373134329,0.7068121693121694,0.2931878306878306,0.875,0.875,False,True,True,False,True,True,True,True,0.916274776274946,False,False,
