complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
5,,0.80583781602709,0.1941621839729099,1.0,0.75,False,True,True,False,True,True,True,True,0.9999666916162486,False,True,sampled_lang_44484
6,,0.8260229376840837,0.1739770623159162,1.0,1.0,True,True,True,False,True,True,True,True,0.9999835175263408,False,True,sampled_lang_56214
7,,0.8452516758551547,0.1547483241448453,1.0,1.0,False,True,True,False,True,True,True,True,0.9999609523576266,False,True,sampled_lang_63146
8,,0.8743864589274715,0.1256135410725285,1.0,1.0,False,True,True,False,True,True,True,True,0.9999920678973836,False,True,sampled_lang_52333
11,,0.962878034232419,0.0371219657675809,1.0,1.0,True,True,True,False,True,True,True,True,0.999970677251674,True,True,Javanese-Paciran
2,,0.6580535572616306,0.3419464427383694,1.0,0.5,False,True,True,False,True,True,True,True,0.9312315534007152,False,True,sampled_lang_55173
4,,0.7764189649405913,0.2235810350594087,1.0,1.0,False,True,True,False,True,True,True,True,0.9999906311626244,False,True,sampled_lang_47863
9,,0.9055343742557532,0.0944656257442466,1.0,1.0,False,True,True,False,True,True,True,True,0.9999669358406832,False,True,sampled_lang_60201
3,,0.7599899616944579,0.2400100383055421,1.0,1.0,True,True,True,False,True,True,True,True,0.9999740140874436,False,True,sampled_lang_63249
10,,0.9275232937193552,0.0724767062806448,1.0,0.8333333333333334,False,True,True,False,True,True,True,True,0.999979463066765,False,True,sampled_lang_43495
