,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,optimality,natural,dominant,name
32959,2,,0.2305025996533795,0.7694974003466204,1.0,1.0,True,0.99995095479891,False,True,sampled_lang_34040
40601,3,,0.2435008665511265,0.7564991334488734,1.0,0.5,False,0.9999704215986716,False,True,sampled_lang_36074
57256,8,,0.6058636626227614,0.3941363373772386,1.0,1.0,True,0.9999943281212408,False,True,sampled_lang_39236
58026,10,,0.6933853264009243,0.3066146735990757,1.0,1.0,True,0.9999689694972898,False,True,sampled_lang_39557
64514,4,,0.3783939919121895,0.6216060080878105,1.0,1.0,True,0.9999940314419232,False,True,sampled_lang_36468
65049,24,,1.0,0.0,1.0,1.0,True,1.0,False,True,sampled_lang_38160
69534,16,,0.8536972848064702,0.1463027151935297,1.0,1.0,True,0.9999878373545744,False,True,sampled_lang_37647
80888,18,,0.8783939919121895,0.1216060080878105,1.0,1.0,True,0.9999408132965132,False,True,sampled_lang_42495
98193,12,,0.7434767956865009,0.256523204313499,1.0,1.0,True,0.9999515997874128,False,True,sampled_lang_37111
99663,14,,0.836366262276141,0.163633737723859,1.0,1.0,True,0.9999182279649684,False,True,sampled_lang_38240
101003,6,,0.4842576545349509,0.5157423454650492,1.0,1.0,True,0.9999479075247144,False,True,sampled_lang_37711
101988,20,,0.9579722703639516,0.0420277296360485,1.0,1.0,True,0.9999908763178008,False,True,sampled_lang_38942
107300,1,,0.1666666666666666,0.8333333333333333,1.0,0.0,False,0.9999483671012558,False,True,sampled_lang_34094
