,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,optimality,natural,dominant,name
2797,3,,0.3152562301393931,0.6847437698606069,1.0,0.5,False,True,0.9999331883817248,False,True,sampled_lang_585
7506,14,,0.5111634791412247,0.4888365208587752,1.0,1.0,False,True,0.9998909968013252,False,True,sampled_lang_13467
12493,16,,0.5526607703508402,0.4473392296491598,1.0,1.0,True,True,0.9999615411623182,False,True,sampled_lang_9650
13293,22,,0.5803769574296184,0.4196230425703816,1.0,1.0,True,True,0.9998683357068476,False,True,sampled_lang_17898
14170,4,,0.4254742674226683,0.5745257325773316,1.0,1.0,True,True,0.9999376496933492,False,True,sampled_lang_469
15612,1,,0.2659214171391677,0.7340785828608323,1.0,0.0,False,True,0.9999744775441508,False,True,sampled_lang_63
19184,18,,0.5528917385764965,0.4471082614235034,1.0,1.0,False,True,0.9998864429960368,False,True,sampled_lang_13997
24509,12,,0.5059128014779672,0.4940871985220327,1.0,1.0,False,True,0.9999542670893856,False,True,sampled_lang_9594
29363,6,,0.4378079706727247,0.5621920293272753,1.0,1.0,False,True,0.9999668504638116,False,True,sampled_lang_5718
32117,8,,0.4601502970345621,0.5398497029654379,1.0,1.0,False,True,0.999939413022169,False,True,sampled_lang_5711
34912,10,,0.5029872039529851,0.4970127960470148,1.0,1.0,False,True,0.9999982403090896,False,True,sampled_lang_9632
