complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
6,,0.7708333333333335,0.2291666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.999920207101754,False,True,
13,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,True,True,False,True,True,True,True,0.9999852382759904,False,True,
11,,0.8333333333333336,0.1666666666666664,1.0,1.0,False,True,True,False,True,True,True,True,0.9999065090812722,False,True,
2,,0.6666666666666667,0.3333333333333332,1.0,1.0,True,True,True,False,True,True,True,True,0.999943380767384,False,True,
19,,0.9375000000000002,0.0624999999999997,1.0,1.0,True,True,True,False,True,True,True,True,0.9999605455804276,False,True,
1,,0.3333333333333334,0.6666666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.9999952817306154,False,True,
6,,0.7708333333333335,0.2291666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.999920207101754,False,True,
22,,0.9583333333333336,0.0416666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.9999854922003188,False,True,sampled_lang_7
3,,0.7500000000000001,0.2499999999999999,1.0,1.0,True,True,True,False,True,True,True,True,0.9999570950553264,False,True,
8,,0.8333333333333335,0.1666666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.9999695516775592,False,True,
