comm_cost,complexity,naturalness,Language
0.3750000000000001,26,0.8,artificial
0.5138888888888888,20,0.75,artificial
0.6666666666666666,16,0.5,artificial
0.8,14,0.0,artificial
0.5555555555555556,14,1.0,artificial
0.16666666666666674,20,1.0,artificial
0.33333333333333337,20,1.0,artificial
0.5,18,1.0,artificial
0.5402777777777779,34,0.6666666666666666,artificial
0.7708333333333334,14,0.5,artificial
0.638888888888889,12,0.6666666666666666,artificial
0.33333333333333337,14,1.0,artificial
0.5833333333333334,10,1.0,artificial
0.5416666666666667,22,0.75,artificial
0.7222222222222222,18,0.6666666666666666,artificial
0.7222222222222222,14,0.6666666666666666,artificial
0.5861111111111111,32,0.6666666666666666,artificial
0.5,12,1.0,artificial
0.7337962962962963,19,0.5,artificial
0.6888888888888889,14,0.6666666666666666,artificial
0.7541666666666667,28,0.25,artificial
0.7291666666666667,14,1.0,artificial
0.6583333333333334,18,0.6666666666666666,artificial
0.5416666666666667,22,0.75,artificial
0.2500000000000001,28,0.8333333333333334,artificial
0.7680555555555556,21,0.25,artificial
0.45833333333333337,18,0.75,artificial
0.45833333333333337,18,1.0,artificial
0.7777777777777778,12,0.0,artificial
0.5555555555555556,12,0.6666666666666666,artificial
0.75,16,0.6666666666666666,artificial
0.7083333333333334,12,1.0,artificial
0.7083333333333334,18,0.6666666666666666,artificial
0.7916666666666667,20,0.0,artificial
0.5740740740740741,16,0.75,artificial
0.3125000000000001,30,0.8333333333333334,artificial
0.75,14,0.5,artificial
0.3125000000000001,26,0.8333333333333334,artificial
0.5,10,1.0,artificial
0.625,14,1.0,artificial
0.5972222222222223,22,0.5,artificial
0.4398148148148149,36,0.6666666666666666,artificial
0.4666666666666667,24,0.8,artificial
0.7333333333333334,18,0.3333333333333333,artificial
0.6875,18,0.6666666666666666,artificial
0.7708333333333334,10,0.5,artificial
0.7747222222222222,38,0.0,artificial
0.701388888888889,24,0.3333333333333333,artificial
0.7166666666666667,14,0.6666666666666666,artificial
0.7222222222222223,15,0.6666666666666666,artificial
0.45833333333333337,20,0.75,artificial
0.6805555555555556,20,0.5,artificial
0.6064814814814816,26,0.25,artificial
0.6608796296296297,28,0.25,artificial
0.7777777777777778,16,0.0,artificial
0.5,12,1.0,artificial
0.75,18,0.0,artificial
0.625,16,0.3333333333333333,artificial
0.5555555555555556,20,0.8,artificial
0.6388888888888888,24,0.6,artificial
0.6527777777777778,32,0.4,artificial
0.7407407407407407,9,1.0,artificial
0.6944444444444444,8,1.0,artificial
0.38888888888888895,22,0.8,artificial
0.6222222222222222,22,0.5,artificial
0.5972222222222222,16,0.6666666666666666,artificial
0.7555555555555555,14,0.0,artificial
0.6666666666666667,4,1.0,artificial
0.5555555555555556,30,0.6,artificial
0.7384259259259259,18,0.6666666666666666,artificial
0.45833333333333337,20,0.75,artificial
0.6666666666666666,14,0.5,artificial
0.7222222222222222,20,0.0,artificial
0.375,22,0.8,artificial
0.5625,24,0.5,artificial
0.7916666666666667,16,0.5,artificial
0.7388888888888889,16,0.3333333333333333,artificial
0.5578703703703705,24,0.5,artificial
0.7861111111111112,20,0.3333333333333333,artificial
0.7037037037037037,20,0.3333333333333333,artificial
0.33333333333333337,16,1.0,artificial
0.625,13,1.0,artificial
0.7916666666666667,18,0.0,artificial
0.5486111111111112,24,0.8,artificial
0.7916666666666667,3,1.0,artificial
0.5625,16,0.75,artificial
0.2222222222222222,30,0.8333333333333334,artificial
0.47916666666666674,22,0.8,artificial
0.6296296296296297,30,0.6,artificial
0.6851851851851852,24,0.5,artificial
0.7037037037037037,20,0.3333333333333333,artificial
0.6319444444444444,18,1.0,artificial
0.375,22,0.8,artificial
0.7361111111111112,9,1.0,artificial
0.5578703703703705,20,0.5,artificial
0.7037037037037037,14,0.6666666666666666,artificial
0.41666666666666674,22,1.0,artificial
0.6527777777777777,15,0.75,artificial
