complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name,dp
3,0.88,0.4786585365853659,0.521341463414634,1.0,1.0,True,True,False,True,True,True,False,False,0.9999183323200292,False,True,sampled_lang_7,sampled_lang_7,nontrivial
16,0.36,0.6027808573540282,0.3972191426459718,1.0,1.0,True,True,False,True,True,True,False,False,0.999637723660828,False,True,sampled_lang_5,sampled_lang_5,nontrivial
6,0.76,0.4994918699186992,0.5005081300813008,1.0,1.0,True,True,False,True,True,True,False,False,0.9999183732109482,False,True,sampled_lang_4,sampled_lang_4,nontrivial
22,0.12,0.6105567873860559,0.3894432126139441,1.0,1.0,True,True,False,True,True,True,False,False,0.9998570543257564,False,True,sampled_lang_3,sampled_lang_3,nontrivial
1,0.96,0.2342941611234294,0.7657058388765705,1.0,1.0,True,True,False,True,True,True,True,True,0.8391901091808083,False,True,sampled_lang_6,sampled_lang_6,dp_medium
2,0.92,0.4254742547425476,0.5745257452574524,1.0,1.0,True,True,False,True,True,True,True,True,0.9999599126189193,False,True,sampled_lang_0,sampled_lang_0,dp_medium
8,0.6799999999999999,0.5526607538802661,0.4473392461197338,1.0,1.0,True,True,False,True,True,True,False,False,0.9999301434007498,False,True,sampled_lang_1,sampled_lang_1,nontrivial
13,0.48,0.5891537324464154,0.4108462675535845,1.0,1.0,True,True,False,True,True,True,False,False,0.9997280262628732,False,True,sampled_lang_2,sampled_lang_2,nontrivial
