complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name,dp
14,0.43999999999999995,0.3503787878787879,0.649621212121212,0.6666666666666666,0.6666666666666666,False,True,False,True,False,True,True,True,0.7801398087176804,False,False,Hausa_variant_92,Hausa,dp_medium
13,0.48,0.3721359940872136,0.6278640059127863,1.0,1.0,True,True,False,True,True,False,False,False,0.8104982135453886,False,False,Hungarian_variant_54,Hungarian,nontrivial
18,0.28,0.3109140182310914,0.6890859817689086,0.5,0.5,False,True,False,True,True,False,False,False,0.7207560363335765,False,False,Russian_variant_62,Russian,nontrivial
18,0.28,0.2687854151268786,0.7312145848731214,0.5,0.5,False,True,False,True,True,False,False,False,0.6822394614005199,False,False,Russian_variant_60,Russian,nontrivial
22,0.12,0.3655457009115546,0.6344542990884454,0.5,0.5,False,True,False,True,True,True,False,False,0.7600043727079764,False,False,Basque_variant_96,Basque,nontrivial
22,0.12,0.3657766691303277,0.6342233308696723,1.0,1.0,True,False,False,False,True,True,False,False,0.7602155593743898,False,False,Thai_variant_68,Thai,false
16,0.36,0.3652069475240207,0.6347930524759793,1.0,1.0,True,False,False,False,False,True,False,False,0.7757433204816806,False,False,Hungarian_variant_25,Hungarian,false
16,0.36,0.4341278640059128,0.5658721359940871,1.0,1.0,True,True,False,True,False,True,False,False,0.8387545759548022,False,False,Hungarian_variant_19,Hungarian,nontrivial
25,0.0,0.3452820891845282,0.6547179108154717,0.8571428571428571,0.8571428571428571,False,False,False,False,False,True,False,False,0.7334536780954901,False,False,Thai_variant_20,Thai,false
21,0.16000000000000003,0.2993040157674304,0.7006959842325695,0.5,0.5,False,True,False,True,False,False,True,True,0.702117089479116,False,False,Russian_variant_38,Russian,dp_medium
12,0.52,0.2813038925843804,0.7186961074156195,0.75,0.75,False,False,False,False,True,False,False,False,0.747923270110231,False,False,Russian_variant_8,Russian,false
11,0.56,0.2950542005420054,0.7049457994579946,1.0,1.0,True,False,False,False,True,False,False,False,0.7710428917512522,False,False,Russian_variant_2,Russian,false
21,0.16000000000000003,0.3442042374969204,0.6557957625030796,0.5,0.5,False,True,False,True,False,True,False,False,0.7431674539078368,False,False,Russian_variant_19,Russian,nontrivial
25,0.0,0.3438346883468835,0.6561653116531165,0.8571428571428571,0.8571428571428571,False,False,False,False,True,True,False,False,0.7321302747148735,False,False,Thai_variant_49,Thai,false
11,0.56,0.3283136240453314,0.6716863759546686,1.0,1.0,True,False,False,False,False,True,False,False,0.7990904583330567,False,False,Russian_variant_1,Russian,false
16,0.36,0.4123244641537325,0.5876755358462675,1.0,1.0,True,True,False,True,False,False,True,True,0.8188202683697934,False,False,Hungarian_variant_14,Hungarian,dp_medium
16,0.36,0.3932156935205717,0.6067843064794283,0.5,0.5,False,True,False,True,True,True,False,False,0.8013504612887479,False,False,Basque_variant_42,Basque,nontrivial
11,0.56,0.3859632914510963,0.6140367085489037,1.0,1.0,True,True,False,True,False,False,True,True,0.846710740219375,True,False,Russian,Russian,dp_medium
13,0.48,0.4142645971914265,0.5857354028085735,1.0,1.0,True,True,False,True,True,False,False,False,0.8452719970258462,False,False,Hungarian_variant_62,Hungarian,nontrivial
16,0.36,0.3116223207686622,0.6883776792313377,1.0,1.0,True,False,False,False,True,True,False,False,0.7267531661129745,False,False,Hungarian_variant_31,Hungarian,false
13,0.48,0.3566149297856615,0.6433850702143384,1.0,1.0,True,False,False,False,True,True,False,False,0.7976868479203926,False,False,Hungarian_variant_68,Hungarian,false
12,0.52,0.3315625769894063,0.6684374230105936,0.75,0.75,False,True,False,True,True,True,False,False,0.7894077371725812,False,False,Russian_variant_85,Russian,nontrivial
13,0.48,0.4496643261887165,0.5503356738112835,0.75,0.75,False,True,False,True,True,True,False,False,0.874491627341998,False,False,Basque_variant_72,Basque,nontrivial
13,0.48,0.3067719881744272,0.6932280118255727,1.0,1.0,True,False,False,False,True,True,False,False,0.7565455094301408,False,False,Hebrew_variant_42,Hebrew,false
13,0.48,0.3348115299334812,0.6651884700665188,1.0,1.0,True,False,False,False,True,False,False,False,0.779689915591327,False,False,Hungarian_variant_56,Hungarian,false
19,0.24,0.352549889135255,0.647450110864745,0.8,0.8,False,True,False,True,False,False,True,True,0.756146754202834,False,False,Hungarian_variant_80,Hungarian,dp_medium
19,0.24,0.3483000739098301,0.6516999260901699,0.8,0.8,False,True,False,True,False,False,True,True,0.7522618018006513,False,False,Hebrew_variant_80,Hebrew,dp_medium
11,0.56,0.2736973392461198,0.7263026607538803,0.6666666666666666,0.6666666666666666,False,False,False,False,True,True,False,False,0.7527511052829825,False,False,Hausa_variant_49,Hausa,false
14,0.43999999999999995,0.2752217294900222,0.7247782705099778,0.6666666666666666,0.6666666666666666,False,False,False,False,False,True,False,True,0.7181037451525727,False,False,Hausa_variant_20,Hausa,dp_medium
16,0.36,0.4228566149297857,0.5771433850702143,1.0,1.0,True,True,False,True,False,False,True,True,0.8284494024463297,False,False,Hungarian_variant_38,Hungarian,dp_medium
13,0.48,0.3721359940872136,0.6278640059127863,1.0,1.0,True,True,False,True,True,False,False,False,0.8104982135453886,False,False,Hungarian_variant_60,Hungarian,nontrivial
22,0.12,0.4317565902931757,0.5682434097068243,1.0,1.0,True,True,False,True,False,False,True,True,0.8205381229789458,False,False,Thai_variant_24,Thai,dp_medium
16,0.36,0.3652069475240207,0.6347930524759793,1.0,1.0,True,False,False,False,False,True,False,False,0.7757433204816806,False,False,Hungarian_variant_44,Hungarian,false
13,0.48,0.3144863266814486,0.6855136733185514,1.0,1.0,True,False,False,False,True,True,False,False,0.7629131004820726,False,False,Hungarian_variant_66,Hungarian,false
19,0.24,0.2989652623798965,0.7010347376201035,0.8,0.8,False,True,False,True,True,False,False,False,0.7071567563219587,False,False,Hungarian_variant_78,Hungarian,nontrivial
25,0.0,0.335519832471052,0.664480167528948,0.8571428571428571,0.8571428571428571,False,False,False,False,True,True,False,False,0.7245288408975199,False,False,Thai_variant_96,Thai,false
25,0.0,0.3769093372751909,0.6230906627248091,0.8571428571428571,0.8571428571428571,False,True,False,True,False,True,False,False,0.7623695710649138,False,False,Thai_variant_79,Thai,nontrivial
19,0.24,0.3237250554323725,0.6762749445676275,0.8,0.8,False,False,False,False,False,True,False,False,0.7297937710084839,False,False,Hungarian_variant_98,Hungarian,false
21,0.16000000000000003,0.2789788125153979,0.7210211874846021,0.5,0.5,False,True,False,True,False,True,False,False,0.6835347370837754,False,False,Russian_variant_37,Russian,nontrivial
19,0.24,0.358370288248337,0.641629711751663,0.8,0.8,False,True,False,True,True,False,False,False,0.7614685597905207,False,False,Hebrew_variant_6,Hebrew,nontrivial
19,0.24,0.3942781473269278,0.6057218526730721,0.5,0.5,False,True,False,True,True,True,False,False,0.7942970710828883,False,False,Basque_variant_54,Basque,nontrivial
22,0.12,0.4300012318305002,0.5699987681694998,1.0,1.0,True,True,False,True,False,False,True,True,0.818932970764957,False,False,Thai_variant_0,Thai,dp_medium
18,0.28,0.328960335057896,0.671039664942104,0.5,0.5,False,True,False,True,False,True,False,False,0.7372549746904373,False,False,Russian_variant_43,Russian,nontrivial
15,0.4,0.3477149544222715,0.6522850455777285,0.75,0.75,False,True,False,True,False,False,True,True,0.7655414409806629,False,False,Russian_variant_74,Russian,dp_medium
14,0.43999999999999995,0.3254342202512935,0.6745657797487066,0.6666666666666666,0.6666666666666666,False,True,False,True,True,False,True,True,0.7595501103498908,False,False,Hausa_variant_86,Hausa,dp_medium
8,0.6799999999999999,0.3205838876570585,0.6794161123429415,1.0,1.0,False,False,False,False,True,True,False,False,0.8231918498425732,False,False,Hausa_variant_68,Hausa,false
8,0.6799999999999999,0.2784552845528455,0.7215447154471544,1.0,1.0,False,False,False,False,True,True,False,False,0.7909560846394925,False,False,Hausa_variant_66,Hausa,false
11,0.56,0.2526330376940133,0.7473669623059866,0.6666666666666666,0.6666666666666666,False,False,False,False,True,True,False,False,0.7346886802303866,False,False,Hausa_variant_55,Hausa,false
16,0.36,0.3245565410199557,0.6754434589800443,1.0,1.0,True,False,False,False,True,False,False,False,0.7385783750448107,False,False,Hebrew_variant_26,Hebrew,false
19,0.24,0.2789172209903917,0.7210827790096083,0.8,0.8,False,False,False,False,True,False,False,False,0.6888279948777118,False,False,Hebrew_variant_8,Hebrew,false
14,0.43999999999999995,0.266260162601626,0.7337398373983739,0.6666666666666666,0.6666666666666666,False,True,False,True,True,False,False,False,0.710706697988823,False,False,Hausa_variant_36,Hausa,nontrivial
19,0.24,0.3279748706577975,0.6720251293422025,0.8,0.8,False,True,False,True,False,True,False,False,0.7336789189026747,False,False,Hebrew_variant_79,Hebrew,nontrivial
25,0.0,0.3280980537078098,0.6719019462921901,0.8571428571428571,0.8571428571428571,False,False,False,False,True,False,False,False,0.7177432932453187,False,False,Thai_variant_32,Thai,false
19,0.24,0.423380142892338,0.576619857107662,1.0,1.0,True,True,False,True,False,False,True,True,0.8209041772684551,False,False,Thai_variant_14,Thai,dp_medium
16,0.36,0.3319475240206948,0.6680524759793052,1.0,1.0,True,False,False,False,True,False,False,False,0.745335066303259,False,False,Hungarian_variant_32,Hungarian,false
