name,simplicity,complexity,informativity,optimality
natural_means,0.7722222222222223,16.4,0.956111111111111,0.8623409585595901
dlsav_means,0.75,18.0,1.1625,0.7764874225911752
population_means,0.6662067335660268,24.033115183246075,0.6972727765799698,0.8104306932604091
