,name,naturalness,simplicity,informativity,optimality,Language,comm_cost,complexity
0,sampled_lang_5,0.5,0.6756756756756757,0.5694444439754629,0.9913911678157677,artificial,0.4305555560245371,24
1,sampled_lang_5,0.5,0.7297297297297297,0.6805555550609376,0.9952743467344327,artificial,0.31944444493906243,20
2,sampled_lang_5,0.8571428571428571,0.5945945945945945,0.9444444438027777,0.8800007139084651,artificial,0.0555555561972223,30
3,sampled_lang_5,1.0,0.8108108108108107,0.6633286515746476,0.9965992549382612,artificial,0.3366713484253524,14
4,sampled_lang_14,1.0,0.8378378378378378,0.4999999999499999,0.9933350712085097,artificial,0.5000000000500001,12
5,sampled_lang_5,0.8571428571428571,0.5945945945945945,0.9444444438027778,0.8800007139084651,artificial,0.05555555619722219,30
6,sampled_lang_5,0.5,0.7837837837837838,0.6412698409019107,0.9953260634157646,artificial,0.35873015909808925,16
7,sampled_lang_5,1.0,0.8648648648648649,0.5661064423863648,0.9954863861302997,artificial,0.43389355761363524,10
8,sampled_lang_5,1.0,0.8108108108108107,0.7095238091780135,0.9975230568214618,artificial,0.2904761908219865,14
9,sampled_lang_5,0.5,0.9189189189189189,0.5256410254860475,0.9955168328251062,artificial,0.4743589745139525,6
10,sampled_lang_5,0.3333333333333333,0.7837837837837838,0.546666666369341,0.9934345993233059,artificial,0.453333333630659,16
11,sampled_lang_5,0.0,0.8648648648648649,0.4607053861750148,0.9933799950205328,artificial,0.5392946138249852,10
12,sampled_lang_14,0.8571428571428571,0.6216216216216216,0.9333333327199999,0.9199927954798284,artificial,0.06666666728000015,28
13,sampled_lang_16,0.0,0.05405405405405406,0.5303904054208706,0.07999696523041155,artificial,0.46960959457912943,70
14,sampled_lang_5,1.0,0.7297297297297297,0.8055555551666667,0.9977727338684251,artificial,0.19444444483333334,20
15,sampled_lang_93,0.4,0.6486486486486487,0.6681818330582601,0.9594552002692431,artificial,0.33181816694173993,26
16,sampled_lang_5,0.5,0.8378378378378378,0.49470899458931716,0.9932292862934641,artificial,0.5052910054106828,12
17,sampled_lang_5,0.0,0.7837837837837838,0.43287037034674003,0.9911596996724926,artificial,0.56712962965326,16
18,sampled_lang_5,1.0,0.8648648648648649,0.5526094273059201,0.9952167296732076,artificial,0.4473905726940799,10
19,sampled_lang_5,1.0,0.8648648648648649,0.5521557270100461,0.9952076646792516,artificial,0.4478442729899539,10
20,sampled_lang_5,0.75,0.7567567567567568,0.5569940474421544,0.9928081205418012,artificial,0.4430059525578456,18
21,sampled_lang_5,1.0,0.7297297297297297,0.7711817164264181,0.9970859555171326,artificial,0.22881828357358192,20
22,sampled_lang_5,0.25,0.6756756756756757,0.5116853075262459,0.9902362948761111,artificial,0.48831469247375414,24
23,sampled_lang_14,0.6,0.7027027027027026,0.5271299484633926,0.9913781139849657,artificial,0.47287005153660744,22
24,sampled_lang_5,0.25,0.7567567567567568,0.561526210657672,0.9928987537010292,artificial,0.43847378934232795,18
25,sampled_lang_5,1.0,0.8108108108108107,0.6392496390388239,0.9961177168737853,artificial,0.3607503609611761,14
26,sampled_lang_116,0.5555555555555556,0.472972972972973,0.6599301140329719,0.6999375582577523,artificial,0.34006988596702814,39
