complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,optimality,natural,dominant,name
2,,0.369179600886918,0.6308203991130821,1.0,1.0,True,True,False,True,False,True,False,0.9999165650844316,False,True,Hausa_variant_0
12,,0.5093619118009362,0.4906380881990638,0.75,0.75,False,True,False,True,True,True,False,0.9998502735233809,False,True,Russian_variant_2
8,,0.5066672825819167,0.4933327174180832,1.0,1.0,True,True,False,True,True,True,False,0.999860941171204,False,True,Russian_variant_73
16,,0.5883222468588322,0.4116777531411678,1.0,1.0,True,True,False,True,True,True,False,0.9999660143365788,False,True,Dutch_variant_4
6,,0.4874353288987435,0.5125646711012565,1.0,1.0,True,True,False,True,True,True,False,0.9999808270542728,False,True,Basque_variant_47
15,,0.5679970436067997,0.4320029563932003,1.0,1.0,True,True,False,True,True,True,False,0.999985253796951,False,True,Mapudungun_variant_6
14,,0.5496119733924612,0.4503880266075388,1.0,1.0,True,True,False,True,True,True,False,0.9998882535457986,False,True,Cantonese_variant_50
18,,0.6382113821138211,0.3617886178861789,1.0,1.0,True,True,False,True,True,True,False,0.9999785652543036,False,True,Japanese_variant_0
13,,0.5298410938654841,0.4701589061345159,1.0,1.0,True,True,False,True,True,True,False,0.9999525477868022,False,True,Mapudungun_variant_7
5,,0.4470312884947031,0.5529687115052969,1.0,1.0,True,True,False,True,True,True,True,0.9999881577484326,False,True,Hindi_variant_59
