,complexity,comm_cost,optimality,N
cogsci universal true,45.14131635912263,0.4907868853696691,0.7517608113849069,132122
cogsci universal false,38.57681452315412,0.7522026975974233,0.7677301968632539,28699
population,43.969860901250456,0.5374373377056471,0.7546105971333048,160821
