,complexity,comm_cost,optimality,N
Deontic Priority true,41.30875146530354,0.6130184915265927,0.7986985996426912,104074
Deontic Priority false,35.788480711711024,0.6387098702144736,0.8169103069766458,13039
population,40.69414155559161,0.6158788903440705,0.8007262349344814,117113
