,complexity,comm_cost,optimality,N
cogsci universal true,45.14131635912263,0.4898903867243316,0.7515808029847114,132122
cogsci universal false,38.57681452315412,0.7603646515788265,0.7677847566816752,28699
population,43.969860901250456,0.5381573476750728,0.7544724481501387,160821
