,Language,comm_cost,complexity,dlsav,iff,informativity,name,optimality,sav,simplicity
0,artificial,1.1102230246251565e-16,24,True,1.0,0.9999999999999999,sampled_lang_40279,0.9999999999999999,1.0,
1,artificial,0.33333333333333326,12,True,1.0,0.6666666666666667,sampled_lang_40370,0.999951916366267,1.0,
2,artificial,0.45833333333333337,10,True,1.0,0.5416666666666666,sampled_lang_50349,0.9999459059120505,1.0,
3,artificial,0.16666666666666674,18,True,1.0,0.8333333333333333,sampled_lang_438680,0.9999759581831336,1.0,
4,artificial,0.29166666666666663,16,True,1.0,0.7083333333333334,sampled_lang_46244,0.9999355558385674,1.0,
5,artificial,0.8333333333333333,1,False,1.0,0.16666666666666669,sampled_lang_34030,0.9999999999999999,0.0,
6,artificial,0.45833333333333337,10,True,1.0,0.5416666666666666,sampled_lang_9650,0.9999459059120505,1.0,
7,artificial,0.16666666666666674,18,True,1.0,0.8333333333333333,sampled_lang_44422,0.9999759581831336,1.0,
8,artificial,0.625,6,False,1.0,0.375,sampled_lang_444268,0.9999699477289169,0.6666666666666666,
9,artificial,0.45833333333333337,10,True,1.0,0.5416666666666666,sampled_lang_9425,0.9999459059120505,1.0,
10,artificial,0.29166666666666663,16,True,1.0,0.7083333333333334,sampled_lang_54718,0.9999355558385674,1.0,
11,artificial,0.45833333333333337,10,True,1.0,0.5416666666666666,sampled_lang_9081,0.9999459059120505,1.0,
12,artificial,0.5,8,True,1.0,0.49999999999999994,sampled_lang_39816,0.9999450142611774,1.0,
13,artificial,0.7777777777777778,3,False,1.0,0.22222222222222224,sampled_lang_36665,0.9999655307452173,0.5,
14,artificial,0.625,6,False,1.0,0.37499999999999994,sampled_lang_63257,0.9999699477289169,0.6666666666666666,
15,artificial,0.5,8,True,1.0,0.49999999999999994,sampled_lang_437273,0.9999450142611774,1.0,
16,artificial,0.7777777777777778,3,False,1.0,0.22222222222222224,sampled_lang_35713,0.9999655307452173,0.5,
17,artificial,0.5,8,True,1.0,0.49999999999999994,sampled_lang_40577,0.9999450142611774,1.0,
18,artificial,0.6666666666666666,4,False,1.0,0.33333333333333337,sampled_lang_437481,0.9999725071305887,0.5,
19,artificial,0.6666666666666666,4,True,1.0,0.33333333333333337,sampled_lang_48654,0.9999725071305887,1.0,
20,artificial,0.7777777777777778,3,False,1.0,0.22222222222222224,sampled_lang_38086,0.9999655307452173,0.5,
21,artificial,0.5,8,True,1.0,0.49999999999999994,sampled_lang_38125,0.9999450142611774,1.0,
22,artificial,0.29166666666666663,16,True,1.0,0.7083333333333334,sampled_lang_50749,0.9999355558385674,1.0,
23,artificial,0.125,22,True,1.0,0.875,sampled_lang_440823,0.9999723810736717,1.0,
24,artificial,0.16666666666666674,18,True,1.0,0.8333333333333333,sampled_lang_46359,0.9999759581831336,1.0,
25,artificial,0.29166666666666663,16,True,1.0,0.7083333333333334,sampled_lang_49082,0.9999355558385674,1.0,
26,artificial,0.5,8,True,1.0,0.5,sampled_lang_446581,0.9999450142611774,1.0,
27,artificial,0.625,6,False,1.0,0.375,sampled_lang_49168,0.9999699477289169,0.6666666666666666,
28,artificial,0.125,22,True,1.0,0.875,sampled_lang_54637,0.9999723810736717,1.0,
29,artificial,0.5,8,True,1.0,0.49999999999999994,sampled_lang_440191,0.9999450142611774,1.0,
