,complexity,comm_cost,optimality,N
Deontic Priority true,41.30875146530354,0.8459799802075909,0.891321364988385,104074
Deontic Priority false,35.788480711711024,0.9208385326249167,0.8566960551936063,13039
population,40.69414155559161,0.8543145004143101,0.8874662898522845,117113
