,complexity,comm_cost,optimality,N
cogsci universal true,45.14131635912263,0.49015406279648976,0.7516135675857784,132122
cogsci universal false,38.57681452315412,0.7579640768784139,0.7677610442702995,28699
population,43.969860901250456,0.5379455800370064,0.7544951342553619,160821
