,complexity,comm_cost,optimality,N
cogsci universal true,45.14131635912263,0.49549350325769065,0.757539742890227,132122
cogsci universal false,38.57681452315412,0.7093524391950555,0.7675380241896459,28699
population,43.969860901250456,0.5336572853661619,0.7593239668100634,160821
