comm_cost,complexity,naturalness,Language
0.49919402491806164,12,0.3333333333333333,artificial
0.5833333333333333,8,1.0,artificial
0.3439059254563416,10,1.0,artificial
0.356646825584817,18,1.0,artificial
0.5402777778572153,12,0.0,artificial
0.21746031784230402,22,1.0,artificial
0.3333333339333333,12,0.6666666666666666,artificial
0.14444444504661735,26,0.8333333333333334,artificial
0.48163069460164354,17,0.5,artificial
0.2559086459292451,36,0.9,artificial
0.23552766664994196,34,0.7142857142857143,artificial
0.25988017712976086,36,0.7142857142857143,artificial
0.5333333334255834,8,0.0,artificial
0.5018518519996049,10,0.0,artificial
0.1486008257855702,38,0.75,artificial
0.395532972149926,18,0.6,artificial
0.26533744085638933,24,0.8333333333333334,artificial
0.4156565662728151,12,0.6666666666666666,artificial
0.3333333335333333,16,1.0,artificial
0.5055555556990556,6,0.5,artificial
0.25205155070257246,18,0.8,artificial
0.3000984055403497,34,0.7142857142857143,artificial
0.0833333340263891,28,0.8333333333333334,artificial
0.4473389357527502,14,0.6666666666666666,artificial
0.5555555555777778,16,0.0,artificial
0.30092592652789873,20,0.8,artificial
0.3963032585368045,16,0.3333333333333333,artificial
0.4102182541796895,14,1.0,artificial
0.40930085205276834,32,0.5714285714285714,artificial
0.24305555590327788,26,1.0,artificial
0.462962963180247,8,0.5,artificial
0.10000000084716687,24,0.8333333333333334,artificial
0.24968928310505478,20,0.8,artificial
0.4743589745139526,6,1.0,artificial
0.48920032881848574,24,0.25,artificial
0.5596872616639165,6,0.5,artificial
0.4825025340855499,20,0.0,artificial
0.3500000004570556,14,0.6666666666666666,artificial
0.43849206385043693,12,0.6666666666666666,artificial
0.48983489592542695,30,0.0,artificial
0.3174595440687167,28,0.625,artificial
0.17010405168549714,24,1.0,artificial
0.4836309526306334,8,0.5,artificial
0.47837837866319755,15,0.3333333333333333,artificial
0.05555555640185206,32,0.8571428571428571,artificial
0.37500000045625004,16,0.6666666666666666,artificial
0.5833333333333333,8,1.0,artificial
0.3599033821522779,18,0.75,artificial
0.41666666692916676,16,0.3333333333333333,artificial
0.32605570578462595,16,0.75,artificial
0.5833333333333333,2,1.0,artificial
0.3110235119412722,20,0.6,artificial
0.4050654699102947,20,0.5,artificial
0.4411764710894093,13,0.6666666666666666,artificial
0.48518151838058754,7,0.6666666666666666,artificial
0.5666666666794167,8,1.0,artificial
0.4322128853438637,14,0.6666666666666666,artificial
0.2777777781244445,16,1.0,artificial
0.07361111175358004,34,0.875,artificial
0.23853812926468432,34,0.5714285714285714,artificial
0.5555555555999999,16,0.0,artificial
0.42921683006624356,54,0.2,artificial
0.4441281890225651,16,0.75,artificial
0.48095238102160554,8,1.0,artificial
0.5294208049578197,16,0.0,artificial
0.3777777781758732,14,0.3333333333333333,artificial
0.5095238095749116,6,1.0,artificial
0.30946083675620895,22,0.8,artificial
0.23055555652604176,18,0.8,artificial
0.5070921986934466,8,0.5,artificial
0.4770965386543614,44,0.0,artificial
0.486111111530787,5,1.0,artificial
0.29166666712833345,10,1.0,artificial
0.41177605804017703,13,0.75,artificial
0.49206349224879065,18,0.3333333333333333,artificial
0.47916666677916675,10,0.5,artificial
0.4085935906842152,19,0.6666666666666666,artificial
0.3600000007100491,12,0.6666666666666666,artificial
0.4944819631118974,20,0.0,artificial
0.24491549455990036,38,0.8,artificial
0.5392946138249852,10,0.0,artificial
0.4353032172220881,48,0.14285714285714285,artificial
0.26296296332800007,14,1.0,artificial
0.4164662611323251,15,0.5,artificial
0.5596872616639166,6,0.5,artificial
0.36459009193918446,30,0.8571428571428571,artificial
0.49382716058734577,10,1.0,artificial
0.48605952651834783,22,0.0,artificial
0.37487129571851885,32,0.5714285714285714,artificial
0.3871335086636132,16,0.75,artificial
0.30790580355030717,14,1.0,artificial
0.2845798012937395,26,0.8333333333333334,artificial
0.4307474465708453,13,0.75,artificial
0.34296763903259775,18,0.75,artificial
0.33333333393333353,12,0.6666666666666666,artificial
0.4254426842414245,22,0.5,artificial
0.07777777836214794,28,0.8571428571428571,artificial
