,complexity,comm_cost,optimality,N
cogsci universal true,45.14131635912263,0.8469671160172996,0.8857719891471425,132122
cogsci universal false,38.57681452315412,0.928109395473648,0.8448026114953938,28699
population,43.969860901250456,0.861447204302522,0.8784608782273774,160821
