complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
5,0.9253731343283582,0.4793198529411765,0.5206801470588234,0.5,0.5,False,True,True,False,True,True,True,True,0.778996953473351,False,False,
9,0.8656716417910448,0.7481481481481483,0.2518518518518516,0.8,0.8,False,True,True,False,True,True,True,True,0.9451549593221544,False,False,
35,0.4776119402985075,0.5615925430522756,0.4384074569477244,0.2857142857142857,0.1428571428571428,False,True,True,False,True,True,True,True,0.6316928405756557,False,False,
15,0.7761194029850746,0.4273809523809525,0.5726190476190476,0.0,0.0,False,True,True,False,True,True,True,True,0.6865905313563346,False,False,
42,0.3731343283582089,0.5386714115635769,0.4613285884364231,0.2222222222222222,0.1111111111111111,False,True,True,False,True,True,True,True,0.5527949095769112,False,False,
41,0.3880597014925373,0.5425067203553263,0.4574932796446737,0.125,0.125,False,True,True,False,True,True,True,True,0.5642889091443403,False,False,
49,0.26865671641791045,0.5271623166813124,0.4728376833186876,0.2,0.1,False,True,True,False,True,True,True,True,0.4783132349625588,False,False,
27,0.5970149253731343,0.6409954476765806,0.3590045523234194,0.5,0.5,False,True,True,False,True,True,True,True,0.7348873800814413,False,False,
20,0.7014925373134329,0.5073232323232325,0.4926767676767675,0.8,0.8,False,True,True,False,True,True,True,True,0.7348078434061247,False,False,
17,0.7462686567164178,0.6779872465272602,0.3220127534727398,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.8439754543548057,False,False,
16,0.7611940298507462,0.5727081488253388,0.4272918511746612,0.8,0.8,False,True,True,False,True,True,True,True,0.8182219632076346,False,False,
39,0.417910447761194,0.6121131231668672,0.3878868768331328,0.5,0.4,False,True,True,False,True,True,True,True,0.6049766550797395,False,False,
35,0.4776119402985075,0.6014297494526362,0.3985702505473638,0.4444444444444444,0.4444444444444444,False,True,True,False,True,True,True,True,0.644340346458516,False,False,
40,0.4029850746268657,0.5546791579660593,0.4453208420339407,0.1666666666666666,0.1666666666666666,False,True,True,False,True,True,True,True,0.5789464133959297,False,False,
13,0.8059701492537313,0.5194444444444445,0.4805555555555555,1.0,1.0,True,True,True,False,True,True,True,True,0.7939418969500067,False,False,
10,0.8507462686567164,0.4523809523809524,0.5476190476190476,0.0,0.0,False,True,True,False,True,True,True,True,0.7347685979360731,False,False,
10,0.8507462686567164,0.5656322843822844,0.4343677156177156,0.75,0.75,False,True,True,False,True,True,True,True,0.8579208211925755,False,False,
12,0.8208955223880597,0.8472222222222223,0.1527777777777776,1.0,1.0,False,True,True,False,True,True,True,True,0.980318018070218,False,False,
5,0.9253731343283582,0.5722222222222223,0.4277777777777777,1.0,0.3333333333333333,False,True,True,False,True,True,True,True,0.8892250015784442,False,False,
3,0.9552238805970149,0.7000000000000001,0.2999999999999999,1.0,1.0,False,True,True,False,True,True,True,True,0.9937019134009776,False,False,
14,0.791044776119403,0.671327092240405,0.328672907759595,0.6,0.6,False,True,True,False,True,True,True,True,0.8746266334735404,False,False,
10,0.8507462686567164,0.7376068376068377,0.2623931623931623,0.8333333333333334,0.8333333333333334,False,True,True,False,True,True,True,True,0.9294259738591288,False,False,
9,0.8656716417910448,0.75,0.25,1.0,1.0,True,True,True,False,True,True,True,True,0.9463472315843316,False,False,
19,0.7164179104477613,0.9583333333333336,0.0416666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.9999890496522144,False,False,
18,0.7313432835820896,0.7471971714923153,0.2528028285076846,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.8623588869738695,False,False,
15,0.7761194029850746,0.5996048704382038,0.4003951295617962,0.8,0.8,False,True,True,False,True,True,True,True,0.8443888520235587,False,False,
20,0.7014925373134329,0.8553975617408456,0.1446024382591544,0.8571428571428571,0.8571428571428571,False,True,True,False,True,True,True,True,0.9157028947315587,False,False,
13,0.8059701492537313,0.5394468115432977,0.4605531884567023,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.8134471595320253,False,False,
25,0.6268656716417911,0.6216974325694041,0.3783025674305958,0.6666666666666666,0.5,False,True,True,False,True,True,True,True,0.7526363341398201,False,False,
9,0.8656716417910448,0.521151783490324,0.478848216509676,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.816380752754233,False,False,
15,0.7761194029850746,0.4583333333333333,0.5416666666666666,0.0,0.0,False,True,True,False,True,True,True,True,0.7198232839983516,False,False,
8,0.8805970149253731,0.7777777777777779,0.2222222222222221,1.0,1.0,True,True,True,False,True,True,True,True,0.9731736216746164,True,False,Igbo
55,0.17910447761194026,0.5658356589026994,0.4341643410973006,0.3,0.2,False,True,True,False,True,True,True,True,0.4288991684091295,False,False,
35,0.4776119402985075,0.5300802129831236,0.4699197870168764,0.25,0.125,False,True,True,False,True,True,True,True,0.6176430127961108,False,False,
18,0.7313432835820896,0.5763060644195614,0.4236939355804385,1.0,0.8333333333333334,False,True,True,False,True,True,True,True,0.8029273881541497,False,False,
6,0.9104477611940298,0.5357142857142858,0.4642857142857142,0.5,0.5,False,True,True,False,True,True,True,True,0.843784859071154,False,False,
12,0.8208955223880597,0.4515993265993266,0.5484006734006733,0.0,0.0,False,True,True,False,True,True,True,True,0.7264181299495576,False,False,
6,0.9104477611940298,0.4333333333333334,0.5666666666666665,1.0,1.0,True,True,True,False,True,True,True,True,0.7223024508062125,False,False,
54,0.19402985074626866,0.5747321735424694,0.4252678264575306,0.2,0.2,False,True,True,False,True,True,True,True,0.4413262446835587,False,False,
20,0.7014925373134329,0.595758359314074,0.404241640685926,0.2,0.2,False,True,True,False,True,True,True,True,0.794545619651674,False,False,
12,0.8208955223880597,0.6520955062416115,0.3479044937583885,0.75,0.75,False,True,True,False,True,True,True,True,0.8937654795318049,False,False,
11,0.835820895522388,0.7133333333333335,0.2866666666666665,0.75,0.75,False,True,True,False,True,True,True,True,0.9114078567752316,False,False,
21,0.6865671641791045,0.8057147101264749,0.1942852898735251,0.8571428571428571,0.8571428571428571,False,True,True,False,True,True,True,True,0.874502805619813,False,False,
12,0.8208955223880597,0.7500000000000001,0.2499999999999999,0.75,0.75,False,True,True,False,True,True,True,True,0.9195208597140688,False,False,
14,0.791044776119403,0.7472222222222223,0.2527777777777776,0.8,0.8,False,True,True,False,True,True,True,True,0.8998481872487063,False,False,
25,0.6268656716417911,0.5213137458942515,0.4786862541057485,0.5,0.1666666666666666,False,True,True,False,True,True,True,True,0.704681288111786,False,False,
4,0.9402985074626866,0.4166666666666667,0.5833333333333333,0.0,0.0,False,True,True,False,True,True,True,True,0.7045959530453088,False,False,
5,0.9253731343283582,0.4537037037037038,0.5462962962962963,1.0,1.0,False,True,True,False,True,True,True,True,0.74823175252017,False,False,
16,0.7611940298507462,0.5013694366635544,0.4986305633364456,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.7575878576764243,False,False,
29,0.5671641791044777,0.9513888888888892,0.0486111111111109,1.0,1.0,True,True,True,False,True,True,True,True,0.8993771632357338,False,False,
20,0.7014925373134329,0.9097222222222224,0.0902777777777776,1.0,1.0,True,True,True,False,True,True,True,True,0.9473524342526444,False,False,
5,0.9253731343283582,0.5208333333333334,0.4791666666666666,1.0,0.5,False,True,True,False,True,True,True,True,0.8286355594730641,False,False,
9,0.8656716417910448,0.4782171212621911,0.5217828787378089,1.0,0.6666666666666666,False,True,True,False,True,True,True,True,0.7678172120823441,False,False,
14,0.791044776119403,0.7281746031746033,0.2718253968253967,0.8,0.8,False,True,True,False,True,True,True,True,0.8875846983192383,False,False,
8,0.8805970149253731,0.4791666666666668,0.5208333333333333,0.5,0.5,False,True,True,False,True,True,True,True,0.7720756489392144,False,False,
35,0.4776119402985075,0.6130546123536365,0.3869453876463635,0.4285714285714285,0.4285714285714285,False,True,True,False,True,True,True,True,0.6468698246725948,False,False,
13,0.8059701492537313,0.6611111111111113,0.3388888888888887,0.75,0.75,False,True,True,False,True,True,True,True,0.8838365249092119,False,False,
13,0.8059701492537313,0.6361904761904763,0.3638095238095237,1.0,1.0,True,True,True,False,True,True,True,True,0.8801700954350886,False,False,
13,0.8059701492537313,0.6319444444444445,0.3680555555555554,1.0,1.0,True,True,True,False,True,True,True,True,0.8788417168012699,False,False,
38,0.4328358208955224,0.4805456064413693,0.5194543935586307,0.0,0.0,False,True,True,False,True,True,True,True,0.5621080940852607,False,False,
25,0.6268656716417911,0.6275375224561729,0.3724624775438271,0.6666666666666666,0.5,False,True,True,False,True,True,True,True,0.7538571745416816,False,False,
11,0.835820895522388,0.5083333333333334,0.4916666666666666,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,True,0.7932292685141369,False,False,
