complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
6,,0.7777777777777778,0.2222222222222222,1.0,1.0,True,True,True,False,True,True,True,True,0.9999704896698834,True,True,Igbo
6,,0.7777777777777778,0.2222222222222222,1.0,1.0,True,True,True,False,True,True,True,True,0.9999704896698834,False,True,sampled_lang_47223
4,,0.7222222222222222,0.2777777777777778,1.0,1.0,True,True,True,False,True,True,True,True,0.9999835009998692,False,True,sampled_lang_59810
6,,0.7777777777777778,0.2222222222222222,1.0,1.0,True,True,True,False,True,True,True,True,0.9999704896698834,True,True,Khmer
12,,0.9305555555555556,0.0694444444444445,1.0,1.0,True,True,True,False,True,True,True,True,0.9999284255285196,False,True,sampled_lang_43571
7,,0.8055555555555555,0.1944444444444445,1.0,1.0,True,True,True,False,True,True,True,True,0.9999626007341536,True,True,Lillooet-Salish
18,,0.9444444444444444,0.0555555555555555,0.875,0.875,False,True,True,False,True,True,True,True,0.9999740883780528,True,True,Japanese
19,,0.9502645502645504,0.0497354497354497,1.0,0.9,False,True,True,False,True,True,True,True,0.9999461099957834,False,True,sampled_lang_51106
4,,0.7222222222222222,0.2777777777777778,1.0,1.0,True,True,True,False,True,True,True,True,0.9999835009998692,False,True,sampled_lang_45376
3,,0.7000000000000001,0.2999999999999999,1.0,1.0,True,True,True,False,True,True,True,True,0.9999747015331332,False,True,sampled_lang_56096
8,,0.8617424242424242,0.1382575757575758,1.0,1.0,True,True,True,False,True,True,True,True,0.999987564960194,False,True,sampled_lang_66777
6,,0.7777777777777778,0.2222222222222222,1.0,1.0,True,True,True,False,True,True,True,True,0.9999704896698834,False,True,sampled_lang_39443
5,,0.7395833333333333,0.2604166666666667,1.0,1.0,False,True,True,False,True,True,True,True,0.999977891480392,False,True,sampled_lang_56783
11,,0.9166666666666666,0.0833333333333333,1.0,1.0,True,True,True,False,True,True,True,True,0.9999754663420314,True,True,Javanese-Paciran
2,,0.5833333333333334,0.4166666666666666,1.0,0.5,False,True,True,False,True,True,True,True,0.9070921408695526,False,True,sampled_lang_54478
8,,0.8617424242424242,0.1382575757575758,1.0,1.0,False,True,True,False,True,True,True,True,0.999987564960194,False,True,sampled_lang_48824
8,,0.8617424242424242,0.1382575757575758,1.0,1.0,False,True,True,False,True,True,True,True,0.999987564960194,False,True,sampled_lang_54928
