,complexity,comm_cost,optimality,N
Deontic Priority true,41.30875146530354,0.8656105956450184,0.9146447544510546,104074
Deontic Priority false,35.788480711711024,0.9395073468236798,0.8741397731720487,13039
population,40.69414155559161,0.8738380318700198,0.9101350548370327,117113
