,complexity,comm_cost,optimality,N
cogsci universal true,45.14131635912263,0.8307105444458918,0.8678634666145367,132122
cogsci universal false,38.57681452315412,0.9133199222084394,0.8317898305229423,28699
population,43.969860901250456,0.8454524409171693,0.8614260157704761,160821
