,name,naturalness,simplicity,informativity,optimality,Language,comm_cost,complexity,counts
7986,sampled_lang_62,0.0,0.9864864864864865,0.417,1.0,artificial,0.583,1,67
4235,sampled_lang_26,0.0,0.972972972972973,0.333,0.968,artificial,0.667,2,64
1788,sampled_lang_35,1.0,0.972972972972973,0.25,0.944,artificial,0.75,2,61
4376,sampled_lang_14,0.5,0.9594594594594594,0.479,1.0,artificial,0.521,3,60
7227,sampled_lang_14,0.5,0.9594594594594594,0.472,0.998,artificial,0.528,3,57
4701,sampled_lang_5,0.0,0.9594594594594594,0.444,0.99,artificial,0.556,3,45
15167,sampled_lang_187,1.0,0.9459459459459459,0.667,1.0,artificial,0.333,4,45
7422,sampled_lang_14,0.5,0.9459459459459459,0.583,0.996,artificial,0.417,4,44
2597,sampled_lang_162,0.0,0.9459459459459459,0.5,0.992,artificial,0.5,4,44
5222,sampled_lang_14,0.5,0.9459459459459459,0.472,0.989,artificial,0.528,4,43
4684,sampled_lang_14,1.0,0.9459459459459459,0.465,0.987,artificial,0.535,4,42
2,sampled_lang_14,0.5,0.9459459459459459,0.375,0.962,artificial,0.625,4,42
978,sampled_lang_54,0.0,0.9459459459459459,0.367,0.96,artificial,0.633,4,41
1693,sampled_lang_56,0.0,0.9459459459459459,0.333,0.95,artificial,0.667,4,41
1934,sampled_lang_23,1.0,0.9459459459459459,0.25,0.927,artificial,0.75,4,40
180,sampled_lang_15,1.0,0.9459459459459459,0.167,0.904,artificial,0.833,4,40
5275,sampled_lang_180,0.667,0.9324324324324325,0.528,0.983,artificial,0.472,5,39
105,sampled_lang_14,0.667,0.9324324324324325,0.519,0.983,artificial,0.481,5,38
1883,sampled_lang_14,0.333,0.9324324324324325,0.488,0.981,artificial,0.512,5,38
13386,sampled_lang_14,0.333,0.9324324324324325,0.477,0.981,artificial,0.523,5,37
3411,sampled_lang_14,0.5,0.9324324324324325,0.472,0.98,artificial,0.528,5,37
595,sampled_lang_167,0.5,0.9324324324324325,0.465,0.979,artificial,0.535,5,37
219,sampled_lang_5,0.0,0.9324324324324325,0.444,0.973,artificial,0.556,5,36
2482,sampled_lang_5,0.0,0.9324324324324325,0.426,0.968,artificial,0.574,5,35
1998,sampled_lang_14,1.0,0.9189189189189189,0.681,1.0,artificial,0.319,6,35
13923,sampled_lang_14,0.667,0.9189189189189189,0.625,0.979,artificial,0.375,6,34
8963,sampled_lang_14,0.667,0.9189189189189189,0.611,0.978,artificial,0.389,6,34
7896,sampled_lang_14,0.667,0.9189189189189189,0.604,0.978,artificial,0.396,6,34
10004,sampled_lang_5,1.0,0.9189189189189189,0.597,0.977,artificial,0.403,6,34
175,sampled_lang_14,1.0,0.9189189189189189,0.583,0.977,artificial,0.417,6,33
426,sampled_lang_14,0.5,0.9189189189189189,0.58,0.977,artificial,0.42,6,33
3057,sampled_lang_14,0.333,0.9189189189189189,0.542,0.975,artificial,0.458,6,32
1885,sampled_lang_14,0.5,0.9189189189189189,0.522,0.974,artificial,0.478,6,32
2062,sampled_lang_14,0.5,0.9189189189189189,0.521,0.974,artificial,0.479,6,32
5200,sampled_lang_14,0.667,0.9189189189189189,0.502,0.973,artificial,0.498,6,32
1959,sampled_lang_14,1.0,0.9189189189189189,0.5,0.972,artificial,0.5,6,31
336,sampled_lang_14,0.5,0.9189189189189189,0.479,0.971,artificial,0.521,6,30
144,sampled_lang_14,0.0,0.9189189189189189,0.467,0.97,artificial,0.533,6,30
265,sampled_lang_14,1.0,0.9189189189189189,0.417,0.956,artificial,0.583,6,30
3488,sampled_lang_14,0.0,0.9189189189189189,0.383,0.947,artificial,0.617,6,30
596,sampled_lang_14,0.5,0.9189189189189189,0.375,0.944,artificial,0.625,6,29
7709,sampled_lang_5,0.5,0.9189189189189189,0.365,0.942,artificial,0.635,6,29
2178,sampled_lang_14,1.0,0.9189189189189189,0.361,0.941,artificial,0.639,6,29
4122,sampled_lang_5,1.0,0.9189189189189189,0.347,0.937,artificial,0.653,6,29
474,sampled_lang_40,0.0,0.9189189189189189,0.278,0.917,artificial,0.722,6,29
227,sampled_lang_5,1.0,0.9189189189189189,0.271,0.915,artificial,0.729,6,28
418,sampled_lang_14,0.75,0.9054054054054054,0.565,0.966,artificial,0.435,7,27
632,sampled_lang_14,0.667,0.9054054054054054,0.535,0.965,artificial,0.465,7,27
359,sampled_lang_14,0.667,0.9054054054054054,0.528,0.964,artificial,0.472,7,26
3693,sampled_lang_14,0.667,0.9054054054054054,0.521,0.964,artificial,0.479,7,26
13531,sampled_lang_14,0.5,0.9054054054054054,0.514,0.964,artificial,0.486,7,26
1064,sampled_lang_14,0.667,0.9054054054054054,0.509,0.963,artificial,0.491,7,26
1024,sampled_lang_14,0.667,0.9054054054054054,0.505,0.963,artificial,0.495,7,26
577,sampled_lang_14,0.667,0.9054054054054054,0.502,0.963,artificial,0.498,7,26
720,sampled_lang_14,0.333,0.9054054054054054,0.501,0.963,artificial,0.499,7,25
12282,sampled_lang_14,0.667,0.9054054054054054,0.495,0.963,artificial,0.505,7,25
1974,sampled_lang_14,0.333,0.9054054054054054,0.493,0.963,artificial,0.507,7,24
3485,sampled_lang_14,0.333,0.9054054054054054,0.488,0.962,artificial,0.512,7,24
1697,sampled_lang_14,0.333,0.9054054054054054,0.477,0.962,artificial,0.523,7,24
4806,sampled_lang_14,0.333,0.9054054054054054,0.476,0.962,artificial,0.524,7,24
1097,sampled_lang_14,0.333,0.9054054054054054,0.475,0.962,artificial,0.525,7,23
92,sampled_lang_14,0.333,0.9054054054054054,0.473,0.962,artificial,0.527,7,23
5068,sampled_lang_14,0.333,0.9054054054054054,0.464,0.96,artificial,0.536,7,23
1673,sampled_lang_14,0.333,0.9054054054054054,0.462,0.96,artificial,0.538,7,23
6488,sampled_lang_14,0.0,0.9054054054054054,0.458,0.959,artificial,0.542,7,23
2043,sampled_lang_5,0.0,0.9054054054054054,0.451,0.957,artificial,0.549,7,23
1279,sampled_lang_14,0.0,0.9054054054054054,0.446,0.956,artificial,0.554,7,23
7963,sampled_lang_14,0.0,0.9054054054054054,0.441,0.954,artificial,0.559,7,23
3962,sampled_lang_5,1.0,0.8918918918918919,0.715,1.0,artificial,0.285,8,23
11931,sampled_lang_14,1.0,0.8918918918918919,0.694,0.991,artificial,0.306,8,22
2030,sampled_lang_14,1.0,0.8918918918918919,0.681,0.985,artificial,0.319,8,22
3590,sampled_lang_14,1.0,0.8918918918918919,0.667,0.979,artificial,0.333,8,22
2990,sampled_lang_14,0.667,0.8918918918918919,0.639,0.965,artificial,0.361,8,22
539,sampled_lang_14,1.0,0.8918918918918919,0.632,0.961,artificial,0.368,8,22
1338,sampled_lang_171,0.667,0.8918918918918919,0.625,0.96,artificial,0.375,8,22
8594,sampled_lang_192,0.667,0.8918918918918919,0.618,0.959,artificial,0.382,8,22
14249,sampled_lang_14,0.667,0.8918918918918919,0.611,0.959,artificial,0.389,8,22
4369,sampled_lang_14,0.667,0.8918918918918919,0.604,0.959,artificial,0.396,8,21
2659,sampled_lang_5,1.0,0.8918918918918919,0.59,0.958,artificial,0.41,8,21
4354,sampled_lang_14,0.5,0.8918918918918919,0.583,0.958,artificial,0.417,8,21
4436,sampled_lang_14,0.667,0.8918918918918919,0.572,0.957,artificial,0.428,8,21
6029,sampled_lang_14,0.667,0.8918918918918919,0.571,0.957,artificial,0.429,8,21
8033,sampled_lang_14,0.5,0.8918918918918919,0.567,0.957,artificial,0.433,8,21
14933,sampled_lang_14,0.333,0.8918918918918919,0.562,0.957,artificial,0.438,8,21
2154,sampled_lang_14,0.667,0.8918918918918919,0.558,0.956,artificial,0.442,8,21
3597,sampled_lang_14,0.667,0.8918918918918919,0.555,0.956,artificial,0.445,8,20
2581,sampled_lang_14,0.667,0.8918918918918919,0.554,0.956,artificial,0.446,8,20
9189,sampled_lang_14,0.333,0.8918918918918919,0.552,0.956,artificial,0.448,8,20
3541,sampled_lang_14,0.333,0.8918918918918919,0.542,0.956,artificial,0.458,8,20
1238,sampled_lang_14,0.333,0.8918918918918919,0.538,0.955,artificial,0.462,8,20
1550,sampled_lang_5,0.5,0.8918918918918919,0.533,0.955,artificial,0.467,8,20
209,sampled_lang_14,0.0,0.8918918918918919,0.528,0.955,artificial,0.472,8,20
192,sampled_lang_14,0.5,0.8918918918918919,0.521,0.954,artificial,0.479,8,20
4014,sampled_lang_14,0.333,0.8918918918918919,0.517,0.954,artificial,0.483,8,20
9424,sampled_lang_14,0.333,0.8918918918918919,0.515,0.954,artificial,0.485,8,20
3103,sampled_lang_14,0.667,0.8918918918918919,0.514,0.954,artificial,0.486,8,20
5028,sampled_lang_14,0.333,0.8918918918918919,0.504,0.954,artificial,0.496,8,20
7216,sampled_lang_14,0.333,0.8918918918918919,0.502,0.953,artificial,0.498,8,20
254,sampled_lang_5,0.5,0.8918918918918919,0.5,0.953,artificial,0.5,8,19
13207,sampled_lang_14,0.667,0.8918918918918919,0.499,0.953,artificial,0.501,8,19
114,sampled_lang_14,1.0,0.8918918918918919,0.493,0.953,artificial,0.507,8,19
2369,sampled_lang_14,0.5,0.8918918918918919,0.49,0.953,artificial,0.51,8,19
1305,sampled_lang_14,0.667,0.8918918918918919,0.488,0.953,artificial,0.512,8,19
3738,sampled_lang_14,1.0,0.8918918918918919,0.486,0.953,artificial,0.514,8,19
527,sampled_lang_14,0.0,0.8918918918918919,0.485,0.953,artificial,0.515,8,19
3291,sampled_lang_14,1.0,0.8918918918918919,0.481,0.952,artificial,0.519,8,19
6072,sampled_lang_14,1.0,0.8918918918918919,0.479,0.952,artificial,0.521,8,19
6904,sampled_lang_14,0.0,0.8918918918918919,0.478,0.952,artificial,0.522,8,19
2014,sampled_lang_161,1.0,0.8918918918918919,0.475,0.952,artificial,0.525,8,19
2641,sampled_lang_14,0.0,0.8918918918918919,0.467,0.951,artificial,0.533,8,18
1715,sampled_lang_14,0.667,0.8918918918918919,0.455,0.949,artificial,0.545,8,18
645,sampled_lang_52,0.0,0.8918918918918919,0.45,0.948,artificial,0.55,8,18
1999,sampled_lang_14,0.0,0.8918918918918919,0.448,0.947,artificial,0.552,8,18
3611,sampled_lang_121,0.333,0.8918918918918919,0.446,0.947,artificial,0.554,8,18
1332,sampled_lang_14,0.0,0.8918918918918919,0.433,0.943,artificial,0.567,8,18
1713,sampled_lang_14,0.0,0.8918918918918919,0.431,0.943,artificial,0.569,8,18
1864,sampled_lang_14,0.5,0.8918918918918919,0.425,0.941,artificial,0.575,8,18
2368,sampled_lang_14,0.5,0.8918918918918919,0.424,0.941,artificial,0.576,8,18
76,sampled_lang_5,1.0,0.8918918918918919,0.417,0.939,artificial,0.583,8,18
915,sampled_lang_14,0.333,0.8918918918918919,0.414,0.938,artificial,0.586,8,18
2200,sampled_lang_5,0.5,0.8918918918918919,0.408,0.936,artificial,0.592,8,18
3002,sampled_lang_14,0.5,0.8918918918918919,0.403,0.935,artificial,0.597,8,18
15218,sampled_lang_14,0.667,0.8918918918918919,0.402,0.934,artificial,0.598,8,17
737,sampled_lang_14,0.0,0.8918918918918919,0.396,0.933,artificial,0.604,8,17
5145,sampled_lang_14,0.0,0.8918918918918919,0.389,0.931,artificial,0.611,8,17
2906,sampled_lang_14,0.5,0.8918918918918919,0.385,0.93,artificial,0.615,8,17
242,sampled_lang_14,0.0,0.8918918918918919,0.383,0.929,artificial,0.617,8,17
845,sampled_lang_14,0.5,0.8918918918918919,0.375,0.927,artificial,0.625,8,17
10520,sampled_lang_14,0.0,0.8918918918918919,0.367,0.925,artificial,0.633,8,16
360,sampled_lang_14,0.5,0.8918918918918919,0.365,0.924,artificial,0.635,8,16
1460,sampled_lang_14,0.0,0.8918918918918919,0.347,0.919,artificial,0.653,8,16
895,sampled_lang_5,1.0,0.8918918918918919,0.333,0.915,artificial,0.667,8,16
942,sampled_lang_14,0.5,0.8918918918918919,0.306,0.907,artificial,0.694,8,16
1753,sampled_lang_45,0.0,0.8918918918918919,0.292,0.904,artificial,0.708,8,16
742,sampled_lang_14,1.0,0.8918918918918919,0.271,0.898,artificial,0.729,8,16
2686,sampled_lang_14,1.0,0.8918918918918919,0.25,0.892,artificial,0.75,8,16
1268,sampled_lang_41,0.0,0.8918918918918919,0.222,0.884,artificial,0.778,8,16
861,sampled_lang_19,0.0,0.8918918918918919,0.167,0.868,artificial,0.833,8,16
3498,sampled_lang_14,0.75,0.8783783783783784,0.576,0.948,artificial,0.424,9,15
14363,sampled_lang_195,0.75,0.8783783783783784,0.574,0.948,artificial,0.426,9,15
8102,sampled_lang_14,0.75,0.8783783783783784,0.565,0.947,artificial,0.435,9,15
14081,sampled_lang_14,0.75,0.8783783783783784,0.544,0.946,artificial,0.456,9,15
7306,sampled_lang_14,0.75,0.8783783783783784,0.542,0.946,artificial,0.458,9,15
8003,sampled_lang_14,0.5,0.8783783783783784,0.532,0.946,artificial,0.468,9,15
7515,sampled_lang_14,0.5,0.8783783783783784,0.529,0.945,artificial,0.471,9,15
7597,sampled_lang_14,0.667,0.8783783783783784,0.528,0.945,artificial,0.472,9,15
3341,sampled_lang_14,0.5,0.8783783783783784,0.525,0.945,artificial,0.475,9,15
1714,sampled_lang_14,0.667,0.8783783783783784,0.521,0.945,artificial,0.479,9,15
165,sampled_lang_14,0.667,0.8783783783783784,0.514,0.945,artificial,0.486,9,15
2304,sampled_lang_14,0.667,0.8783783783783784,0.509,0.944,artificial,0.491,9,15
363,sampled_lang_14,0.5,0.8783783783783784,0.507,0.944,artificial,0.493,9,15
373,sampled_lang_14,0.5,0.8783783783783784,0.506,0.944,artificial,0.494,9,15
441,sampled_lang_14,0.333,0.8783783783783784,0.505,0.944,artificial,0.495,9,15
2468,sampled_lang_14,0.667,0.8783783783783784,0.495,0.944,artificial,0.505,9,15
1821,sampled_lang_14,0.333,0.8783783783783784,0.493,0.944,artificial,0.507,9,14
6559,sampled_lang_5,0.333,0.8783783783783784,0.492,0.943,artificial,0.508,9,14
204,sampled_lang_14,0.333,0.8783783783783784,0.491,0.943,artificial,0.509,9,14
7788,sampled_lang_14,0.25,0.8783783783783784,0.484,0.943,artificial,0.516,9,14
5082,sampled_lang_14,0.25,0.8783783783783784,0.481,0.943,artificial,0.519,9,14
729,sampled_lang_14,0.333,0.8783783783783784,0.479,0.943,artificial,0.521,9,14
13246,sampled_lang_14,0.333,0.8783783783783784,0.478,0.943,artificial,0.522,9,14
402,sampled_lang_14,0.333,0.8783783783783784,0.475,0.943,artificial,0.525,9,14
3070,sampled_lang_14,0.333,0.8783783783783784,0.473,0.943,artificial,0.527,9,14
7712,sampled_lang_14,0.333,0.8783783783783784,0.471,0.942,artificial,0.529,9,14
9858,sampled_lang_14,0.0,0.8783783783783784,0.47,0.942,artificial,0.53,9,14
5386,sampled_lang_5,0.0,0.8783783783783784,0.465,0.942,artificial,0.535,9,14
14683,sampled_lang_14,0.333,0.8783783783783784,0.464,0.942,artificial,0.536,9,14
20,sampled_lang_14,0.333,0.8783783783783784,0.462,0.941,artificial,0.538,9,14
295,sampled_lang_14,0.0,0.8783783783783784,0.461,0.941,artificial,0.539,9,14
2588,sampled_lang_14,0.333,0.8783783783783784,0.459,0.941,artificial,0.541,9,14
549,sampled_lang_14,0.333,0.8783783783783784,0.456,0.94,artificial,0.544,9,14
8432,sampled_lang_14,0.0,0.8783783783783784,0.452,0.94,artificial,0.548,9,14
1964,sampled_lang_14,0.0,0.8783783783783784,0.451,0.939,artificial,0.549,9,14
3941,sampled_lang_14,0.0,0.8783783783783784,0.446,0.938,artificial,0.554,9,14
4128,sampled_lang_14,0.0,0.8783783783783784,0.441,0.937,artificial,0.559,9,14
4527,sampled_lang_14,0.0,0.8783783783783784,0.44,0.936,artificial,0.56,9,14
2565,sampled_lang_14,0.0,0.8783783783783784,0.434,0.935,artificial,0.566,9,14
997,sampled_lang_14,0.0,0.8783783783783784,0.431,0.934,artificial,0.569,9,14
2244,sampled_lang_5,0.0,0.8783783783783784,0.424,0.932,artificial,0.576,9,14
5235,sampled_lang_14,1.0,0.8648648648648649,0.764,1.0,artificial,0.236,10,13
2644,sampled_lang_14,1.0,0.8648648648648649,0.75,0.995,artificial,0.25,10,13
14400,sampled_lang_161,1.0,0.8648648648648649,0.722,0.986,artificial,0.278,10,13
1206,sampled_lang_14,1.0,0.8648648648648649,0.708,0.981,artificial,0.292,10,13
2899,sampled_lang_14,0.667,0.8648648648648649,0.674,0.967,artificial,0.326,10,13
1135,sampled_lang_156,1.0,0.8648648648648649,0.667,0.964,artificial,0.333,10,13
4320,sampled_lang_14,0.75,0.8648648648648649,0.653,0.958,artificial,0.347,10,13
12182,sampled_lang_14,0.75,0.8648648648648649,0.648,0.956,artificial,0.352,10,13
24,sampled_lang_14,0.667,0.8648648648648649,0.646,0.955,artificial,0.354,10,13
1837,sampled_lang_14,0.667,0.8648648648648649,0.639,0.952,artificial,0.361,10,13
12859,sampled_lang_14,0.667,0.8648648648648649,0.635,0.95,artificial,0.365,10,13
3238,sampled_lang_14,0.75,0.8648648648648649,0.634,0.95,artificial,0.366,10,13
12606,sampled_lang_14,0.75,0.8648648648648649,0.632,0.949,artificial,0.368,10,13
