,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,optimality,natural,dominant,name
4303,16,,0.5526607538802661,0.4473392461197338,1.0,1.0,True,True,0.9999615540153468,False,True,sampled_lang_9650
4439,8,,0.460150283321015,0.5398497166789851,1.0,1.0,False,True,0.9999394259357668,False,True,sampled_lang_5711
9754,22,,0.5803769401330376,0.4196230598669623,1.0,1.0,True,True,0.9998683112818628,False,True,sampled_lang_17898
14482,4,,0.4254742547425473,0.5745257452574526,1.0,1.0,True,True,0.9999376322685364,False,True,sampled_lang_469
19333,10,,0.5029871889627986,0.4970128110372014,1.0,1.0,False,True,0.999998251553506,False,True,sampled_lang_9632
21279,6,,0.4378079576250307,0.5621920423749693,1.0,1.0,False,True,0.9999668686162216,False,True,sampled_lang_5718
23333,3,,0.3152562207440256,0.6847437792559744,1.0,0.5,False,True,0.9999331937693472,False,True,sampled_lang_585
26195,12,,0.5059127864005913,0.4940872135994086,1.0,1.0,False,True,0.9999542192947184,False,True,sampled_lang_9594
31386,1,,0.2659214092140921,0.7340785907859079,1.0,0.0,False,True,0.9999744814877494,False,True,sampled_lang_63
33125,14,,0.5111634639073663,0.4888365360926336,1.0,1.0,False,True,0.9998909852123012,False,True,sampled_lang_13467
33443,18,,0.5528917220990393,0.4471082779009607,1.0,1.0,False,True,0.9998864200659432,False,True,sampled_lang_13997
