complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,dp
10,0.8507462686567164,0.8920181012901982,0.1079818987098018,1.0,1.0,True,True,True,False,True,True,True,True,0.9998125786759816,False,True,,dp_medium
16,0.7611940298507462,0.9547588099364528,0.0452411900635472,1.0,1.0,True,True,True,False,True,True,True,True,0.9999094708775772,True,True,Javanese-Paciran,dp_medium
11,0.835820895522388,0.8929448295782783,0.1070551704217217,1.0,1.0,False,True,True,False,True,True,True,True,0.9999286384340068,False,True,,dp_medium
16,0.7611940298507462,0.9547588099364528,0.0452411900635472,1.0,1.0,True,True,True,False,True,True,True,True,0.9999094708775772,False,True,,dp_medium
1,0.9850746268656716,0.4507028692470632,0.5492971307529368,1.0,1.0,True,True,True,False,True,True,True,True,0.9999783576469896,False,True,,dp_medium
5,0.9253731343283582,0.7979852686308491,0.2020147313691509,1.0,1.0,True,True,True,False,True,True,True,True,0.999933475694832,False,True,,dp_medium
14,0.791044776119403,0.9108174465626804,0.0891825534373196,1.0,1.0,False,True,True,False,True,True,True,True,0.9999489884570693,False,True,,dp_medium
3,0.9552238805970148,0.7499999999999999,0.2500000000000001,1.0,1.0,True,True,True,False,True,True,True,True,0.9999744974082913,False,True,,dp_medium
23,0.6567164179104478,0.9663368958212976,0.0336631041787023,1.0,1.0,True,True,True,False,True,True,True,True,0.9995422257109008,False,True,,dp_medium
13,0.8059701492537313,0.901826978625072,0.0981730213749279,1.0,1.0,True,True,True,False,True,True,True,True,0.9998962713251344,False,True,sampled_lang_7,dp_medium
2,0.9701492537313432,0.5645580589254765,0.4354419410745235,1.0,1.0,True,True,True,False,True,True,True,True,0.99999465425594,False,True,,dp_medium
8,0.8805970149253731,0.8719068938956285,0.1280931061043715,1.0,1.0,False,True,True,False,True,True,True,True,0.9999616321066253,False,True,,dp_medium
19,0.7164179104477613,0.9600122761409589,0.0399877238590411,1.0,1.0,True,True,True,False,True,True,True,True,0.9998028229810876,False,True,,dp_medium
