complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,optimality,natural,dominant,name
18,,0.6215277777777778,0.3784722222222222,0.8,0.6,False,True,True,False,True,True,True,0.8536564114704444,False,False,sampled_lang_830
30,,0.5555555555555556,0.4444444444444444,0.7142857142857143,0.42857142857142855,False,True,True,False,True,True,True,0.7530427627875649,False,False,sampled_lang_1210
30,,0.6006117724867723,0.39938822751322767,0.8,0.6,False,True,True,False,True,True,True,0.7864236401546908,False,False,sampled_lang_1846
39,,0.6053240740740741,0.39467592592592593,0.5,0.5,False,True,True,False,True,True,True,0.7436103691155516,False,False,sampled_lang_1791
14,,0.5711805555555556,0.4288194444444444,0.8333333333333334,0.6666666666666666,False,True,True,False,True,True,True,0.8820422839281461,False,False,sampled_lang_1023
49,,0.5480324074074074,0.45196759259259256,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,0.6497151687623417,False,False,sampled_lang_1542
38,,0.6300925925925924,0.3699074074074076,0.6,0.5,False,True,True,False,True,True,True,0.7671055948414268,False,False,sampled_lang_1800
15,,0.5648148148148148,0.43518518518518523,1.0,0.75,False,True,True,False,True,True,True,0.8708883280851423,False,False,sampled_lang_645
22,,0.5324074074074074,0.46759259259259256,0.3333333333333333,0.3333333333333333,False,True,True,False,True,True,True,0.7941192288194534,False,False,sampled_lang_927
46,,0.4802083333333333,0.5197916666666667,0.14285714285714285,0.14285714285714285,False,True,True,False,True,True,True,0.6149010555830527,False,False,sampled_lang_1114
6,,0.49537037037037035,0.5046296296296297,1.0,0.6666666666666666,False,True,True,False,True,True,True,0.9576274450540826,False,False,sampled_lang_425
36,,0.64375,0.35624999999999996,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,0.7875138503901378,False,False,sampled_lang_1610
58,,0.4975198412698412,0.5024801587301588,0.0,0.0,False,True,True,False,True,True,True,0.565987351052798,False,False,sampled_lang_1494
18,,0.8055555555555556,0.19444444444444442,1.0,1.0,True,True,True,False,True,True,True,0.9999053866784816,False,True,sampled_lang_1054
29,,0.6643518518518519,0.33564814814814814,0.75,0.75,False,True,True,False,True,True,True,0.8387918030517788,False,False,sampled_lang_1419
9,,0.4909722222222222,0.5090277777777779,0.3333333333333333,0.0,False,True,True,False,True,True,True,0.9257579377675157,False,False,sampled_lang_333
34,,0.49629629629629624,0.5037037037037038,0.0,0.0,False,True,True,False,True,True,True,0.6885594853070135,False,False,sampled_lang_878
8,,0.5208333333333334,0.47916666666666663,0.5,0.5,False,True,True,False,True,True,True,0.9394321701719452,False,False,sampled_lang_191
43,,0.5310185185185186,0.46898148148148144,0.0,0.0,False,True,True,False,True,True,True,0.6679797042154848,False,False,sampled_lang_1278
