,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,optimality,natural,dominant,name
3524,8,,0.7152777777777778,0.2847222222222222,1.0,1.0,True,True,0.9999423946851252,False,True,sampled_lang_5024
9765,22,,0.9375,0.0625000000000001,1.0,1.0,True,True,0.999986923103945,False,True,sampled_lang_17898
10778,3,,0.4791666666666667,0.5208333333333333,1.0,0.5,False,True,0.999970478221696,False,True,sampled_lang_476
13215,12,,0.798611111111111,0.2013888888888889,1.0,1.0,False,True,0.9999592547772838,False,True,sampled_lang_9748
14400,3,,0.4791666666666667,0.5208333333333333,1.0,0.5,False,True,0.999970478221696,False,True,sampled_lang_1995
14497,4,,0.6666666666666667,0.3333333333333332,1.0,1.0,True,True,0.999943318185656,False,True,sampled_lang_469
18637,36,,1.0,1.1102230246251563e-16,1.0,1.0,True,True,0.9999999999999998,False,True,sampled_lang_35042
21294,6,,0.6805555555555556,0.3194444444444444,1.0,1.0,False,True,0.9999241295852872,False,True,sampled_lang_5718
30268,10,,0.763888888888889,0.236111111111111,1.0,1.0,False,True,0.9999558299442396,False,True,sampled_lang_9306
31398,1,,0.4166666666666667,0.5833333333333333,1.0,0.0,False,True,0.9999799528407664,False,True,sampled_lang_63
32423,18,,0.8749999999999999,0.1250000000000001,1.0,1.0,False,True,0.9999687538510148,False,True,sampled_lang_13939
34992,16,,0.8541666666666666,0.1458333333333333,1.0,1.0,True,True,0.9999681319538092,False,True,sampled_lang_13950
