,Language,comm_cost,complexity,dlsav,iff,informativity,name,optimality,sav,simplicity
0,artificial,0.013276289279133047,22,True,1.0,0.986723710720867,sampled_lang_41487,0.9999853567049894,1.0,
1,artificial,0.0,24,True,1.0,1.0,sampled_lang_54781,1.0,1.0,
2,artificial,0.26790602805626207,6,False,1.0,0.7320939719437379,sampled_lang_5248,0.9999821323391065,0.6666666666666666,
3,artificial,0.5394222149801042,1,False,1.0,0.46057778501989577,sampled_lang_34350,0.9999692835946103,0.0,
4,artificial,0.0978982561576126,14,True,1.0,0.9021017438423874,sampled_lang_50578,0.9999497860348796,1.0,
5,artificial,0.2094445387509385,8,False,1.0,0.7905554612490615,sampled_lang_5711,0.9999890072639493,1.0,
6,artificial,0.06382595133868729,16,False,1.0,0.9361740486613127,sampled_lang_13510,0.9999578194715718,1.0,
7,artificial,0.40492874174213356,3,False,1.0,0.5950712582578664,sampled_lang_36680,0.9999693322927493,0.5,
8,artificial,0.12165855750906107,10,False,1.0,0.8783414424909389,sampled_lang_9632,0.999972966513227,1.0,
9,artificial,0.03605601609889508,18,True,1.0,0.9639439839011049,sampled_lang_40916,0.9999577757371401,1.0,
10,artificial,0.3054593112038181,4,True,1.0,0.6945406887961819,sampled_lang_59184,0.9999610613429811,1.0,
