bootstrap_sample_percent,low,high
1,-0.47697227779900686,-0.04745589770115838
3,-0.3900014575514973,-0.15170206651913837
10,-0.32918296570109107,-0.2087659928389347
31,-0.309227713553509,-0.22868442617637397
100,-0.29023653374957836,-0.24855424560647493
